[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080132_Crosbee_Mark_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
328,10938,0.010938,[0]
329,11517,0.011517,[1]
330,11748,0.011748,[0]
331,11703,0.011703,[1]
332,11274,0.011274,[0]
333,11120,0.01112,[1]
334,11115,0.011115,[0]
335,11260,0.01126,[1]
336,11632,0.011632,[0]
337,11545,0.011545,[1]
338,11460,0.01146,[0]
339,11419,0.011419,[1]
340,11342,0.011342,[0]
341,11230,0.01123,[1]
342,11234,0.011234,[0]
343,11362,0.011362,[1]
344,11237,0.011237,[0]
345,10596,0.010596,[1]
346,10156,0.010156,[0]
347,10172,0.010172,[1]
348,10023,0.010023,[0]
349,9673,0.009673,[1]
350,9713,0.009713,[0]
351,9838,0.009838,[1]
352,9928,0.009928,[0]
353,9587,0.009587,[1]
354,9529,0.009529,[0]
355,9452,0.009452,[1]
356,9251,0.009251,[0]
357,9028,0.009028,[1]
358,9087,0.009087,[0]
359,9227,0.009227,[1]
360,9492,0.009492,[0]
361,9933,0.009933,[1]
362,9399,0.009399,[0]
363,9156,0.009156,[1]
364,8891,0.008891,[0]
365,8570,0.00857,[1]
366,8425,0.008425,[0]
367,8192,0.008192,[1]
368,8224,0.008224,[0]
369,8504,0.008504,[1]
370,8874,0.008874,[0]
371,8754,0.008754,[1]
372,8641,0.008641,[0]
373,8601,0.008601,[1]
374,8697,0.008697,[0]
375,8475,0.008475,[1]
376,8220,0.00822,[0]
377,7987,0.007987,[1]
378,8183,0.008183,[0]
379,8456,0.008456,[1]
380,8728,0.008728,[0]
381,8968,0.008968,[1]
382,8621,0.008621,[0]
383,8290,0.00829,[1]
384,8297,0.008297,[0]
385,8062,0.008062,[1]
386,7841,0.007841,[0]
387,7736,0.007736,[1]
388,7724,0.007724,[0]
389,7877,0.007877,[1]
390,7928,0.007928,[0]
391,7864,0.007864,[1]
392,8279,0.008279,[0]
393,8190,0.00819,[1]
394,8087,0.008087,[0]
395,8629,0.008629,[1]
396,8876,0.008876,[0]
397,8959,0.008959,[1]
398,8629,0.008629,[0]
399,8645,0.008645,[1]
400,8734,0.008734,[0]
401,8895,0.008895,[1]
402,8691,0.008691,[0]
403,8952,0.008952,[1]
404,9294,0.009294,[0]
405,9231,0.009231,[1]
406,9170,0.00917,[0]
407,9160,0.00916,[1]
408,9102,0.009102,[0]
409,9313,0.009313,[1]
410,9555,0.009555,[0]
411,9481,0.009481,[1]
412,9222,0.009222,[0]
413,9248,0.009248,[1]
414,9385,0.009385,[0]
415,9516,0.009516,[1]
416,9838,0.009838,[0]
417,9795,0.009795,[1]
418,9965,0.009965,[0]
419,10078,0.010078,[1]
420,10089,0.010089,[0]
421,9945,0.009945,[1]
422,9729,0.009729,[0]
423,9719,0.009719,[1]
424,9697,0.009697,[0]
425,9607,0.009607,[1]
426,9912,0.009912,[0]
427,10038,0.010038,[1]
428,10337,0.010337,[0]
429,10743,0.010743,[1]
430,10622,0.010622,[0]
431,10570,0.01057,[1]
432,10195,0.010195,[0]
433,9940,0.00994,[1]
434,9992,0.009992,[0]
435,10183,0.010183,[1]
436,10338,0.010338,[0]
437,10761,0.010761,[1]
438,10851,0.010851,[0]
439,10410,0.01041,[1]
440,10690,0.01069,[0]
441,10901,0.010901,[1]
442,10765,0.010765,[0]
443,10733,0.010733,[1]
444,10367,0.010367,[0]
445,10029,0.010029,[1]
446,10070,0.01007,[0]
447,10584,0.010584,[1]
448,11387,0.011387,[0]
449,11771,0.011771,[1]
450,11426,0.011426,[0]
451,11227,0.011227,[1]
452,11053,0.011053,[0]
453,10636,0.010636,[1]
454,10912,0.010912,[0]
455,11494,0.011494,[1]
456,11511,0.011511,[0]
457,11184,0.011184,[1]
458,11182,0.011182,[0]
459,11162,0.011162,[1]
460,10718,0.010718,[0]
461,10740,0.01074,[1]
