[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_081221_Crosbee_Mark_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
353,6938,0.006938,[1]
354,6935,0.006935,[0]
355,7596,0.007596,[1]
356,8363,0.008363,[0]
357,8687,0.008687,[1]
358,8704,0.008704,[0]
359,8864,0.008864,[1]
360,8298,0.008298,[0]
361,7909,0.007909,[1]
362,7738,0.007738,[0]
363,7527,0.007527,[1]
364,7582,0.007582,[0]
365,7801,0.007801,[1]
366,8404,0.008404,[0]
367,8896,0.008896,[1]
368,9094,0.009094,[0]
369,9056,0.009056,[1]
370,9009,0.009009,[0]
371,8798,0.008798,[1]
372,8548,0.008548,[0]
373,8281,0.008281,[1]
374,7921,0.007921,[0]
375,7770,0.00777,[1]
376,7633,0.007633,[0]
377,7850,0.00785,[1]
378,8058,0.008058,[0]
379,7922,0.007922,[1]
380,7840,0.00784,[0]
381,7917,0.007917,[1]
382,7999,0.007999,[0]
383,7850,0.00785,[1]
384,7840,0.00784,[0]
385,7842,0.007842,[1]
386,7680,0.00768,[0]
387,7496,0.007496,[1]
388,7761,0.007761,[0]
389,7644,0.007644,[1]
390,7418,0.007418,[0]
391,7452,0.007452,[1]
392,7452,0.007452,[0]
