[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080849_Crosbee_Mark_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
393,10055,0.010055,[1]
394,10149,0.010149,[0]
395,9949,0.009949,[1]
396,9952,0.009952,[0]
397,9835,0.009835,[1]
398,9792,0.009792,[0]
399,9511,0.009511,[1]
400,9211,0.009211,[0]
401,9206,0.009206,[1]
402,9432,0.009432,[0]
403,9483,0.009483,[1]
404,9435,0.009435,[0]
405,9348,0.009348,[1]
406,9172,0.009172,[0]
407,9036,0.009036,[1]
408,9115,0.009115,[0]
409,9134,0.009134,[1]
410,8984,0.008984,[0]
411,8766,0.008766,[1]
412,8729,0.008729,[0]
413,8979,0.008979,[1]
414,8743,0.008743,[0]
415,8536,0.008536,[1]
416,8691,0.008691,[0]
417,8705,0.008705,[1]
418,8490,0.00849,[0]
419,8257,0.008257,[1]
420,8202,0.008202,[0]
421,8579,0.008579,[1]
422,8596,0.008596,[0]
423,8688,0.008688,[1]
424,8756,0.008756,[0]
425,8627,0.008627,[1]
426,8442,0.008442,[0]
427,8249,0.008249,[1]
428,8721,0.008721,[0]
429,9248,0.009248,[1]
430,9467,0.009467,[0]
431,9632,0.009632,[1]
432,9547,0.009547,[0]
433,9099,0.009099,[1]
434,8666,0.008666,[0]
