[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,O'Callaghan,Georgie,CSLX Tests
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_082553_O'Callaghan_Georgie_90SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
518,10609,0.010609,[0]
519,10715,0.010715,[1]
520,10753,0.010753,[0]
521,10359,0.010359,[1]
522,10215,0.010215,[0]
523,10131,0.010131,[1]
524,10002,0.010002,[0]
525,10039,0.010039,[1]
526,10257,0.010257,[0]
527,10256,0.010256,[1]
528,10183,0.010183,[0]
529,10278,0.010278,[1]
530,9931,0.009931,[0]
531,9790,0.00979,[1]
532,9836,0.009836,[0]
533,9831,0.009831,[1]
534,9818,0.009818,[0]
535,9750,0.00975,[1]
536,9389,0.009389,[0]
537,9239,0.009239,[1]
538,9202,0.009202,[0]
539,9205,0.009205,[1]
540,9069,0.009069,[0]
541,9017,0.009017,[1]
542,9120,0.00912,[0]
543,8985,0.008985,[1]
544,8940,0.00894,[0]
545,8902,0.008902,[1]
546,8907,0.008907,[0]
547,8790,0.00879,[1]
548,8732,0.008732,[0]
549,8819,0.008819,[1]
550,8981,0.008981,[0]
551,8825,0.008825,[1]
552,8627,0.008627,[0]
553,8495,0.008495,[1]
554,8401,0.008401,[0]
555,8500,0.0085,[1]
556,8603,0.008603,[0]
557,8906,0.008906,[1]
558,9275,0.009275,[0]
559,9286,0.009286,[1]
560,9502,0.009502,[0]
561,9648,0.009648,[1]
562,9514,0.009514,[0]
563,9436,0.009436,[1]
564,9364,0.009364,[0]
565,9456,0.009456,[1]
566,9584,0.009584,[0]
567,9731,0.009731,[1]
568,9676,0.009676,[0]
569,9644,0.009644,[1]
570,9592,0.009592,[0]
571,9863,0.009863,[1]
572,10246,0.010246,[0]
573,10151,0.010151,[1]
574,9980,0.00998,[0]
575,10294,0.010294,[1]
576,10243,0.010243,[0]
577,10281,0.010281,[1]
578,10234,0.010234,[0]
579,10118,0.010118,[1]
580,10046,0.010046,[0]
581,10008,0.010008,[1]
582,9978,0.009978,[0]
583,9877,0.009877,[1]
584,9933,0.009933,[0]
585,10267,0.010267,[1]
586,10265,0.010265,[0]
587,10336,0.010336,[1]
588,10543,0.010543,[0]
589,10563,0.010563,[1]
590,10678,0.010678,[0]
591,10685,0.010685,[1]
592,10558,0.010558,[0]
593,10447,0.010447,[1]
594,10344,0.010344,[0]
595,10248,0.010248,[1]
596,10019,0.010019,[0]
597,9878,0.009878,[1]
598,9729,0.009729,[0]
599,9680,0.00968,[1]
600,9581,0.009581,[0]
601,9470,0.00947,[1]
602,9378,0.009378,[0]
603,9460,0.00946,[1]
604,9436,0.009436,[0]
605,9328,0.009328,[1]
606,9418,0.009418,[0]
607,9360,0.00936,[1]
608,9125,0.009125,[0]
609,8934,0.008934,[1]
610,8771,0.008771,[0]
611,8534,0.008534,[1]
612,8581,0.008581,[0]
613,8802,0.008802,[1]
614,8714,0.008714,[0]
615,8802,0.008802,[1]
616,9056,0.009056,[0]
617,8918,0.008918,[1]
618,8782,0.008782,[0]
619,8841,0.008841,[1]
620,8981,0.008981,[0]
621,8914,0.008914,[1]
622,8835,0.008835,[0]
623,9037,0.009037,[1]
624,9029,0.009029,[0]
625,9181,0.009181,[1]
626,9321,0.009321,[0]
627,9559,0.009559,[1]
628,9531,0.009531,[0]
629,9756,0.009756,[1]
630,10022,0.010022,[0]
631,9837,0.009837,[1]
632,9846,0.009846,[0]
633,9685,0.009685,[1]
634,9511,0.009511,[0]
635,9370,0.00937,[1]
636,9168,0.009168,[0]
637,9143,0.009143,[1]
638,9225,0.009225,[0]
639,9502,0.009502,[1]
640,9701,0.009701,[0]
641,9636,0.009636,[1]
642,9960,0.00996,[0]
643,10189,0.010189,[1]
644,10180,0.01018,[0]
645,10497,0.010497,[1]
646,10576,0.010576,[0]
