[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_084907_Davidson_Codie_pirhana60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
370,13050,0.01305,[0]
371,12386,0.012386,[1]
372,11969,0.011969,[0]
373,11825,0.011825,[1]
374,11537,0.011537,[0]
375,11420,0.01142,[1]
376,11291,0.011291,[0]
377,12254,0.012254,[1]
378,14466,0.014466,[0]
379,14291,0.014291,[1]
380,13596,0.013596,[0]
381,12634,0.012634,[1]
382,12090,0.01209,[0]
383,11584,0.011584,[1]
384,11095,0.011095,[0]
385,12167,0.012167,[1]
386,12100,0.0121,[0]
387,12268,0.012268,[1]
388,12343,0.012343,[0]
389,11960,0.01196,[1]
390,11846,0.011846,[0]
391,11039,0.011039,[1]
392,10342,0.010342,[0]
393,10366,0.010366,[1]
394,10214,0.010214,[0]
395,10127,0.010127,[1]
396,10270,0.01027,[0]
397,10443,0.010443,[1]
398,10272,0.010272,[0]
399,9915,0.009915,[1]
400,10294,0.010294,[0]
401,9718,0.009718,[1]
402,9581,0.009581,[0]
403,9576,0.009576,[1]
404,9735,0.009735,[0]
405,9865,0.009865,[1]
406,9500,0.0095,[0]
407,9314,0.009314,[1]
408,9204,0.009204,[0]
409,8866,0.008866,[1]
410,8722,0.008722,[0]
411,8938,0.008938,[1]
412,9062,0.009062,[0]
413,9187,0.009187,[1]
414,9268,0.009268,[0]
415,9632,0.009632,[1]
416,9871,0.009871,[0]
417,9680,0.00968,[1]
418,9411,0.009411,[0]
419,9096,0.009096,[1]
420,8865,0.008865,[0]
421,8598,0.008598,[1]
422,8632,0.008632,[0]
423,8625,0.008625,[1]
424,8879,0.008879,[0]
425,9036,0.009036,[1]
426,9036,0.009036,[0]
427,9013,0.009013,[1]
428,8809,0.008809,[0]
429,8562,0.008562,[1]
430,8792,0.008792,[0]
431,8792,0.008792,[1]
432,8935,0.008935,[0]
433,8970,0.00897,[1]
434,9207,0.009207,[0]
435,9525,0.009525,[1]
436,9289,0.009289,[0]
437,9493,0.009493,[1]
438,9783,0.009783,[0]
439,9838,0.009838,[1]
440,9518,0.009518,[0]
441,9375,0.009375,[1]
442,9605,0.009605,[0]
443,9610,0.00961,[1]
444,10322,0.010322,[0]
445,10591,0.010591,[1]
446,10537,0.010537,[0]
447,10559,0.010559,[1]
448,10868,0.010868,[0]
449,10487,0.010487,[1]
450,10035,0.010035,[0]
451,10507,0.010507,[1]
452,11516,0.011516,[0]
453,11720,0.01172,[1]
454,12197,0.012197,[0]
455,12133,0.012133,[1]
456,11762,0.011762,[0]
457,11371,0.011371,[1]
458,11557,0.011557,[0]
459,11082,0.011082,[1]
460,11451,0.011451,[0]
461,11580,0.01158,[1]
462,11920,0.01192,[0]
463,12473,0.012473,[1]
464,13382,0.013382,[0]
465,12968,0.012968,[1]
466,12854,0.012854,[0]
467,12371,0.012371,[1]
468,12124,0.012124,[0]
469,12405,0.012405,[1]
470,12504,0.012504,[0]
471,12621,0.012621,[1]
472,12866,0.012866,[0]
473,12622,0.012622,[1]
474,12313,0.012313,[0]
475,12379,0.012379,[1]
476,12339,0.012339,[0]
477,12346,0.012346,[1]
478,12788,0.012788,[0]
479,12661,0.012661,[1]
480,12686,0.012686,[0]
481,12055,0.012055,[1]
482,11480,0.01148,[0]
483,11648,0.011648,[1]
484,11790,0.01179,[0]
485,11690,0.01169,[1]
486,11702,0.011702,[0]
487,11861,0.011861,[1]
488,11278,0.011278,[0]
489,10843,0.010843,[1]
490,10499,0.010499,[0]
491,10508,0.010508,[1]
492,10028,0.010028,[0]
493,10766,0.010766,[1]
494,10994,0.010994,[0]
495,10504,0.010504,[1]
496,10233,0.010233,[0]
497,10143,0.010143,[1]
498,10170,0.01017,[0]
499,9829,0.009829,[1]
500,9587,0.009587,[0]
501,9763,0.009763,[1]
502,9818,0.009818,[0]
503,10360,0.01036,[1]
504,10104,0.010104,[0]
505,10021,0.010021,[1]
506,9967,0.009967,[0]
507,9301,0.009301,[1]
508,9153,0.009153,[0]
509,9120,0.00912,[1]
510,8952,0.008952,[0]
511,8727,0.008727,[1]
512,9687,0.009687,[0]
513,10865,0.010865,[1]
514,11327,0.011327,[0]
515,11251,0.011251,[1]
516,11200,0.0112,[0]
517,10560,0.01056,[1]
518,9924,0.009924,[0]
519,9368,0.009368,[1]
520,8798,0.008798,[0]
521,8302,0.008302,[1]
522,7983,0.007983,[0]
523,8191,0.008191,[1]
524,8774,0.008774,[0]
525,8992,0.008992,[1]
526,9524,0.009524,[0]
527,9731,0.009731,[1]
528,9740,0.00974,[0]
529,9436,0.009436,[1]
530,9943,0.009943,[0]
531,9615,0.009615,[1]
532,9570,0.00957,[0]
533,9442,0.009442,[1]
534,9406,0.009406,[0]
535,9597,0.009597,[1]
536,9615,0.009615,[0]
537,9616,0.009616,[1]
538,10058,0.010058,[0]
539,10120,0.01012,[1]
540,10149,0.010149,[0]
541,10294,0.010294,[1]
542,10368,0.010368,[0]
543,10275,0.010275,[1]
544,10163,0.010163,[0]
545,10367,0.010367,[1]
546,10804,0.010804,[0]
547,10876,0.010876,[1]
548,10978,0.010978,[0]
549,11322,0.011322,[1]
550,11050,0.01105,[0]
551,10782,0.010782,[1]
552,10801,0.010801,[0]
553,10917,0.010917,[1]
554,10790,0.01079,[0]
555,11018,0.011018,[1]
556,11175,0.011175,[0]
557,11593,0.011593,[1]
558,11447,0.011447,[0]
559,11753,0.011753,[1]
560,11624,0.011624,[0]
561,11936,0.011936,[1]
562,11532,0.011532,[0]
563,11647,0.011647,[1]
564,12832,0.012832,[0]
565,13027,0.013027,[1]
566,12179,0.012179,[0]
567,11863,0.011863,[1]
568,12013,0.012013,[0]
569,11936,0.011936,[1]
570,11983,0.011983,[0]
571,11949,0.011949,[1]
572,12310,0.01231,[0]
573,12531,0.012531,[1]
574,12521,0.012521,[0]
575,12336,0.012336,[1]
576,12202,0.012202,[0]
577,12072,0.012072,[1]
578,12033,0.012033,[0]
579,12341,0.012341,[1]
580,13091,0.013091,[0]
581,14087,0.014087,[1]
582,13735,0.013735,[0]
583,13103,0.013103,[1]
584,12711,0.012711,[0]
585,12172,0.012172,[1]
586,11765,0.011765,[0]
587,11503,0.011503,[1]
588,11156,0.011156,[0]
589,11068,0.011068,[1]
590,11019,0.011019,[0]
591,10772,0.010772,[1]
592,10707,0.010707,[0]
593,10738,0.010738,[1]
594,10719,0.010719,[0]
595,10600,0.0106,[1]
596,10508,0.010508,[0]
597,10292,0.010292,[1]
598,9982,0.009982,[0]
599,9601,0.009601,[1]
600,9276,0.009276,[0]
601,9268,0.009268,[1]
602,9231,0.009231,[0]
603,9303,0.009303,[1]
604,9197,0.009197,[0]
605,9760,0.00976,[1]
606,9555,0.009555,[0]
607,9714,0.009714,[1]
608,9520,0.00952,[0]
609,9210,0.00921,[1]
610,9282,0.009282,[0]
611,9069,0.009069,[1]
612,9046,0.009046,[0]
613,9104,0.009104,[1]
614,9238,0.009238,[0]
615,9180,0.00918,[1]
616,9276,0.009276,[0]
617,9471,0.009471,[1]
618,9593,0.009593,[0]
619,9524,0.009524,[1]
620,9711,0.009711,[0]
621,9190,0.00919,[1]
622,8849,0.008849,[0]
623,8862,0.008862,[1]
624,8750,0.00875,[0]
625,8736,0.008736,[1]
626,8999,0.008999,[0]
627,9298,0.009298,[1]
628,9576,0.009576,[0]
629,9549,0.009549,[1]
630,9235,0.009235,[0]
631,9166,0.009166,[1]
632,8767,0.008767,[0]
633,8514,0.008514,[1]
634,8529,0.008529,[0]
635,8772,0.008772,[1]
636,9209,0.009209,[0]
637,9275,0.009275,[1]
638,9733,0.009733,[0]
639,10155,0.010155,[1]
640,9913,0.009913,[0]
641,9918,0.009918,[1]
642,10472,0.010472,[0]
643,10202,0.010202,[1]
644,10116,0.010116,[0]
645,10293,0.010293,[1]
646,10443,0.010443,[0]
647,11445,0.011445,[1]
648,11577,0.011577,[0]
649,11631,0.011631,[1]
650,10967,0.010967,[0]
651,10708,0.010708,[1]
652,10398,0.010398,[0]
653,10441,0.010441,[1]
654,10521,0.010521,[0]
655,10807,0.010807,[1]
656,10843,0.010843,[0]
657,11194,0.011194,[1]
658,11413,0.011413,[0]
659,11575,0.011575,[1]
660,11762,0.011762,[0]
661,11981,0.011981,[1]
662,12128,0.012128,[0]
663,11712,0.011712,[1]
664,12072,0.012072,[0]
665,11956,0.011956,[1]
666,12062,0.012062,[0]
667,12003,0.012003,[1]
668,12674,0.012674,[0]
669,12641,0.012641,[1]
670,12979,0.012979,[0]
671,12774,0.012774,[1]
672,12245,0.012245,[0]
673,12476,0.012476,[1]
674,12395,0.012395,[0]
675,12845,0.012845,[1]
676,12836,0.012836,[0]
677,12773,0.012773,[1]
678,12679,0.012679,[0]
679,12434,0.012434,[1]
680,12675,0.012675,[0]
681,12503,0.012503,[1]
682,12222,0.012222,[0]
683,12099,0.012099,[1]
684,11887,0.011887,[0]
685,12133,0.012133,[1]
686,11937,0.011937,[0]
687,11914,0.011914,[1]
688,12472,0.012472,[0]
689,11835,0.011835,[1]
690,11261,0.011261,[0]
691,10812,0.010812,[1]
692,10568,0.010568,[0]
693,10283,0.010283,[1]
694,10370,0.01037,[0]
695,10670,0.01067,[1]
696,10422,0.010422,[0]
697,10248,0.010248,[1]
698,10034,0.010034,[0]
699,9775,0.009775,[1]
700,9575,0.009575,[0]
701,9736,0.009736,[1]
702,9613,0.009613,[0]
703,9654,0.009654,[1]
704,9540,0.00954,[0]
705,9447,0.009447,[1]
706,9513,0.009513,[0]
707,9843,0.009843,[1]
708,9943,0.009943,[0]
709,10117,0.010117,[1]
710,9872,0.009872,[0]
711,9626,0.009626,[1]
