[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_084830_Pope_Ben_80SR-TC
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
253,9849,0.009849,[1]
254,9751,0.009751,[0]
255,9626,0.009626,[1]
256,9644,0.009644,[0]
257,9584,0.009584,[1]
258,9395,0.009395,[0]
259,9172,0.009172,[1]
260,8977,0.008977,[0]
261,9075,0.009075,[1]
262,8923,0.008923,[0]
263,9054,0.009054,[1]
264,9079,0.009079,[0]
265,8835,0.008835,[1]
266,8975,0.008975,[0]
267,9089,0.009089,[1]
268,8874,0.008874,[0]
269,8609,0.008609,[1]
270,8541,0.008541,[0]
271,8610,0.00861,[1]
272,8596,0.008596,[0]
273,8734,0.008734,[1]
274,8902,0.008902,[0]
275,8724,0.008724,[1]
276,8822,0.008822,[0]
277,9033,0.009033,[1]
278,8842,0.008842,[0]
279,8629,0.008629,[1]
280,8863,0.008863,[0]
281,9198,0.009198,[1]
282,9370,0.00937,[0]
283,9344,0.009344,[1]
284,9271,0.009271,[0]
285,9191,0.009191,[1]
286,9126,0.009126,[0]
287,9246,0.009246,[1]
288,9106,0.009106,[0]
289,9255,0.009255,[1]
290,9614,0.009614,[0]
291,9584,0.009584,[1]
292,9596,0.009596,[0]
293,9628,0.009628,[1]
294,9559,0.009559,[0]
295,9732,0.009732,[1]
296,9891,0.009891,[0]
297,9967,0.009967,[1]
298,9600,0.0096,[0]
299,9496,0.009496,[1]
300,9594,0.009594,[0]
301,9678,0.009678,[1]
302,9840,0.00984,[0]
303,10012,0.010012,[1]
304,10231,0.010231,[0]
305,9833,0.009833,[1]
306,9989,0.009989,[0]
307,10005,0.010005,[1]
308,9802,0.009802,[0]
309,9961,0.009961,[1]
310,9761,0.009761,[0]
311,9592,0.009592,[1]
312,9316,0.009316,[0]
313,9241,0.009241,[1]
314,9112,0.009112,[0]
315,9535,0.009535,[1]
316,10123,0.010123,[0]
317,9952,0.009952,[1]
318,9731,0.009731,[0]
319,9636,0.009636,[1]
320,9647,0.009647,[0]
321,9963,0.009963,[1]
322,10670,0.01067,[0]
323,10726,0.010726,[1]
324,10292,0.010292,[0]
325,10148,0.010148,[1]
326,10193,0.010193,[0]
327,10426,0.010426,[1]
328,10463,0.010463,[0]
329,10196,0.010196,[1]
330,10113,0.010113,[0]
331,10132,0.010132,[1]
332,9986,0.009986,[0]
333,9918,0.009918,[1]
334,9518,0.009518,[0]
335,9404,0.009404,[1]
336,9347,0.009347,[0]
337,9195,0.009195,[1]
338,8911,0.008911,[0]
339,8845,0.008845,[1]
340,8821,0.008821,[0]
341,8753,0.008753,[1]
342,8635,0.008635,[0]
343,8786,0.008786,[1]
344,8674,0.008674,[0]
345,8625,0.008625,[1]
346,8723,0.008723,[0]
347,8693,0.008693,[1]
348,8849,0.008849,[0]
349,8879,0.008879,[1]
350,8886,0.008886,[0]
351,8912,0.008912,[1]
352,8925,0.008925,[0]
353,8866,0.008866,[1]
354,8859,0.008859,[0]
355,8948,0.008948,[1]
356,9167,0.009167,[0]
357,9067,0.009067,[1]
358,8999,0.008999,[0]
359,8972,0.008972,[1]
360,9181,0.009181,[0]
361,9230,0.00923,[1]
362,9206,0.009206,[0]
363,9414,0.009414,[1]
364,9558,0.009558,[0]
365,9747,0.009747,[1]
366,10099,0.010099,[0]
367,9840,0.00984,[1]
368,9675,0.009675,[0]
369,9658,0.009658,[1]
370,9574,0.009574,[0]
371,9527,0.009527,[1]
372,9870,0.00987,[0]
373,9959,0.009959,[1]
374,9885,0.009885,[0]
