[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_081829_Pope_Ben_100SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
434,12378,0.012378,[0]
435,12149,0.012149,[1]
436,11776,0.011776,[0]
437,11498,0.011498,[1]
438,10969,0.010969,[0]
439,10508,0.010508,[1]
440,10168,0.010168,[0]
441,10041,0.010041,[1]
442,9979,0.009979,[0]
443,9973,0.009973,[1]
444,10067,0.010067,[0]
445,10122,0.010122,[1]
446,10149,0.010149,[0]
447,10156,0.010156,[1]
448,10077,0.010077,[0]
449,10082,0.010082,[1]
450,9913,0.009913,[0]
451,9651,0.009651,[1]
452,9526,0.009526,[0]
453,9409,0.009409,[1]
454,9309,0.009309,[0]
455,9126,0.009126,[1]
456,8987,0.008987,[0]
457,8864,0.008864,[1]
458,8839,0.008839,[0]
459,8823,0.008823,[1]
460,8708,0.008708,[0]
461,8634,0.008634,[1]
462,8664,0.008664,[0]
463,8646,0.008646,[1]
464,8607,0.008607,[0]
465,8531,0.008531,[1]
466,8473,0.008473,[0]
467,8458,0.008458,[1]
468,8462,0.008462,[0]
469,8487,0.008487,[1]
470,8327,0.008327,[0]
471,8369,0.008369,[1]
472,8310,0.00831,[0]
473,8239,0.008239,[1]
474,8354,0.008354,[0]
475,8366,0.008366,[1]
476,8466,0.008466,[0]
477,8466,0.008466,[1]
478,8446,0.008446,[0]
479,8470,0.00847,[1]
480,8364,0.008364,[0]
481,8231,0.008231,[1]
482,8295,0.008295,[0]
483,8549,0.008549,[1]
484,8867,0.008867,[0]
485,9368,0.009368,[1]
486,9386,0.009386,[0]
487,9572,0.009572,[1]
488,9647,0.009647,[0]
489,9658,0.009658,[1]
490,9583,0.009583,[0]
491,9409,0.009409,[1]
492,9239,0.009239,[0]
493,9105,0.009105,[1]
494,8998,0.008998,[0]
495,8880,0.00888,[1]
496,8787,0.008787,[0]
497,8745,0.008745,[1]
498,8867,0.008867,[0]
499,8968,0.008968,[1]
500,8901,0.008901,[0]
501,8771,0.008771,[1]
502,8895,0.008895,[0]
503,8981,0.008981,[1]
504,8960,0.00896,[0]
505,9194,0.009194,[1]
506,9058,0.009058,[0]
507,8863,0.008863,[1]
508,8771,0.008771,[0]
509,8657,0.008657,[1]
510,8766,0.008766,[0]
511,8645,0.008645,[1]
512,8854,0.008854,[0]
513,8805,0.008805,[1]
514,8822,0.008822,[0]
515,8830,0.00883,[1]
516,8960,0.00896,[0]
517,9197,0.009197,[1]
518,9273,0.009273,[0]
519,9650,0.00965,[1]
520,9416,0.009416,[0]
521,9215,0.009215,[1]
522,9118,0.009118,[0]
523,8900,0.0089,[1]
524,8608,0.008608,[0]
525,8306,0.008306,[1]
526,8060,0.00806,[0]
527,8096,0.008096,[1]
528,8064,0.008064,[0]
529,8165,0.008165,[1]
530,8155,0.008155,[0]
531,7967,0.007967,[1]
532,7865,0.007865,[0]
533,7712,0.007712,[1]
534,7539,0.007539,[0]
535,7443,0.007443,[1]
536,7579,0.007579,[0]
537,7692,0.007692,[1]
538,7689,0.007689,[0]
539,7650,0.00765,[1]
540,7816,0.007816,[0]
541,7704,0.007704,[1]
542,7933,0.007933,[0]
543,8100,0.0081,[1]
544,8060,0.00806,[0]
545,8186,0.008186,[1]
546,8187,0.008187,[0]
547,8343,0.008343,[1]
548,8395,0.008395,[0]
549,9004,0.009004,[1]
550,9684,0.009684,[0]
551,9699,0.009699,[1]
552,9756,0.009756,[0]
553,9649,0.009649,[1]
554,9462,0.009462,[0]
555,9488,0.009488,[1]
556,9432,0.009432,[0]
557,9432,0.009432,[1]
558,9161,0.009161,[0]
559,9032,0.009032,[1]
560,9017,0.009017,[0]
561,8877,0.008877,[1]
562,9172,0.009172,[0]
563,9395,0.009395,[1]
564,9200,0.0092,[0]
565,9239,0.009239,[1]
566,9686,0.009686,[0]
567,9859,0.009859,[1]
