[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090649_Curtin_Dom_pirhana80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
270,8808,0.008808,[0]
271,8486,0.008486,[1]
272,8303,0.008303,[0]
273,8332,0.008332,[1]
274,8579,0.008579,[0]
275,8762,0.008762,[1]
276,9119,0.009119,[0]
277,9247,0.009247,[1]
278,9553,0.009553,[0]
279,9743,0.009743,[1]
280,9707,0.009707,[0]
281,9829,0.009829,[1]
282,9617,0.009617,[0]
283,9761,0.009761,[1]
284,9978,0.009978,[0]
285,9996,0.009996,[1]
286,10295,0.010295,[0]
287,10537,0.010537,[1]
288,10361,0.010361,[0]
289,10475,0.010475,[1]
290,10285,0.010285,[0]
291,10482,0.010482,[1]
292,11007,0.011007,[0]
293,11095,0.011095,[1]
294,11112,0.011112,[0]
295,11032,0.011032,[1]
296,11037,0.011037,[0]
297,11074,0.011074,[1]
298,11090,0.01109,[0]
299,11653,0.011653,[1]
300,11812,0.011812,[0]
301,11626,0.011626,[1]
302,12182,0.012182,[0]
303,11920,0.01192,[1]
304,11512,0.011512,[0]
305,11037,0.011037,[1]
306,11263,0.011263,[0]
307,11898,0.011898,[1]
308,11955,0.011955,[0]
309,11724,0.011724,[1]
310,11798,0.011798,[0]
311,11414,0.011414,[1]
312,11352,0.011352,[0]
313,11724,0.011724,[1]
314,12152,0.012152,[0]
315,11701,0.011701,[1]
316,11130,0.01113,[0]
317,10714,0.010714,[1]
318,10463,0.010463,[0]
319,10235,0.010235,[1]
320,9897,0.009897,[0]
321,9730,0.00973,[1]
322,9544,0.009544,[0]
323,9616,0.009616,[1]
324,9593,0.009593,[0]
325,9605,0.009605,[1]
326,9773,0.009773,[0]
327,9741,0.009741,[1]
328,9482,0.009482,[0]
329,9222,0.009222,[1]
330,8982,0.008982,[0]
331,8851,0.008851,[1]
332,8756,0.008756,[0]
333,8899,0.008899,[1]
334,9370,0.00937,[0]
335,9445,0.009445,[1]
336,9499,0.009499,[0]
337,9250,0.00925,[1]
338,9100,0.0091,[0]
339,8955,0.008955,[1]
340,8828,0.008828,[0]
341,8836,0.008836,[1]
342,8984,0.008984,[0]
343,9161,0.009161,[1]
344,9303,0.009303,[0]
345,9505,0.009505,[1]
346,9384,0.009384,[0]
347,9179,0.009179,[1]
348,9064,0.009064,[0]
349,9090,0.00909,[1]
350,9316,0.009316,[0]
351,9461,0.009461,[1]
352,9713,0.009713,[0]
353,9502,0.009502,[1]
354,9535,0.009535,[0]
355,9465,0.009465,[1]
356,9499,0.009499,[0]
357,9698,0.009698,[1]
358,9780,0.00978,[0]
359,10020,0.01002,[1]
360,9820,0.00982,[0]
361,9965,0.009965,[1]
362,10246,0.010246,[0]
363,10240,0.01024,[1]
364,10331,0.010331,[0]
365,10559,0.010559,[1]
366,10497,0.010497,[0]
367,10551,0.010551,[1]
368,10422,0.010422,[0]
369,10464,0.010464,[1]
370,10546,0.010546,[0]
371,10491,0.010491,[1]
372,10618,0.010618,[0]
373,10981,0.010981,[1]
374,11117,0.011117,[0]
375,11320,0.01132,[1]
376,11068,0.011068,[0]
377,11245,0.011245,[1]
378,11233,0.011233,[0]
379,11088,0.011088,[1]
380,11255,0.011255,[0]
381,11550,0.01155,[1]
382,11472,0.011472,[0]
383,11389,0.011389,[1]
384,11714,0.011714,[0]
385,11663,0.011663,[1]
386,11503,0.011503,[0]
387,11280,0.01128,[1]
388,11148,0.011148,[0]
389,11072,0.011072,[1]
390,10766,0.010766,[0]
391,11248,0.011248,[1]
392,11273,0.011273,[0]
393,11000,0.011,[1]
394,10491,0.010491,[0]
395,10205,0.010205,[1]
396,9919,0.009919,[0]
397,9765,0.009765,[1]
398,9634,0.009634,[0]
399,9768,0.009768,[1]
400,9585,0.009585,[0]
