[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082028_Curtin_Dom_80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
301,11318,0.011318,[1]
302,11091,0.011091,[0]
303,11247,0.011247,[1]
304,11185,0.011185,[0]
305,11434,0.011434,[1]
306,11402,0.011402,[0]
307,11244,0.011244,[1]
308,11115,0.011115,[0]
309,11042,0.011042,[1]
310,10738,0.010738,[0]
311,10612,0.010612,[1]
312,10481,0.010481,[0]
313,10463,0.010463,[1]
314,10175,0.010175,[0]
315,10404,0.010404,[1]
316,10169,0.010169,[0]
317,9987,0.009987,[1]
318,9697,0.009697,[0]
319,9493,0.009493,[1]
320,9247,0.009247,[0]
321,8947,0.008947,[1]
322,8937,0.008937,[0]
323,8955,0.008955,[1]
324,8880,0.00888,[0]
325,9118,0.009118,[1]
326,9028,0.009028,[0]
327,9061,0.009061,[1]
328,9056,0.009056,[0]
329,8803,0.008803,[1]
330,8535,0.008535,[0]
331,8423,0.008423,[1]
332,8424,0.008424,[0]
333,8291,0.008291,[1]
334,8455,0.008455,[0]
335,8731,0.008731,[1]
336,8670,0.00867,[0]
337,8652,0.008652,[1]
338,8715,0.008715,[0]
339,8531,0.008531,[1]
340,8231,0.008231,[0]
341,8407,0.008407,[1]
342,8296,0.008296,[0]
343,8554,0.008554,[1]
344,8515,0.008515,[0]
345,9118,0.009118,[1]
346,9165,0.009165,[0]
347,9000,0.009,[1]
348,8742,0.008742,[0]
349,9081,0.009081,[1]
350,9682,0.009682,[0]
351,9771,0.009771,[1]
352,9412,0.009412,[0]
353,9491,0.009491,[1]
354,9929,0.009929,[0]
355,10134,0.010134,[1]
356,10135,0.010135,[0]
357,11189,0.011189,[1]
358,11621,0.011621,[0]
359,10767,0.010767,[1]
360,10247,0.010247,[0]
361,10291,0.010291,[1]
362,10153,0.010153,[0]
363,10147,0.010147,[1]
364,10587,0.010587,[0]
365,10870,0.01087,[1]
366,10886,0.010886,[0]
367,10993,0.010993,[1]
368,11337,0.011337,[0]
369,11114,0.011114,[1]
370,10763,0.010763,[0]
371,10808,0.010808,[1]
372,11235,0.011235,[0]
373,11205,0.011205,[1]
374,11112,0.011112,[0]
375,11208,0.011208,[1]
376,11156,0.011156,[0]
377,10625,0.010625,[1]
378,10151,0.010151,[0]
379,10231,0.010231,[1]
380,10157,0.010157,[0]
381,9845,0.009845,[1]
382,9734,0.009734,[0]
383,9897,0.009897,[1]
384,9796,0.009796,[0]
385,9256,0.009256,[1]
386,9324,0.009324,[0]
387,9192,0.009192,[1]
388,9194,0.009194,[0]
389,8789,0.008789,[1]
390,9080,0.00908,[0]
391,8926,0.008926,[1]
392,8950,0.00895,[0]
393,8887,0.008887,[1]
394,8763,0.008763,[0]
395,8885,0.008885,[1]
396,8743,0.008743,[0]
397,8710,0.00871,[1]
398,8888,0.008888,[0]
399,8666,0.008666,[1]
400,8365,0.008365,[0]
401,8396,0.008396,[1]
402,8424,0.008424,[0]
403,8391,0.008391,[1]
404,8262,0.008262,[0]
405,8479,0.008479,[1]
406,8991,0.008991,[0]
407,9072,0.009072,[1]
408,8949,0.008949,[0]
409,8868,0.008868,[1]
410,8704,0.008704,[0]
411,8711,0.008711,[1]
412,8685,0.008685,[0]
413,9041,0.009041,[1]
414,8915,0.008915,[0]
415,9359,0.009359,[1]
416,9439,0.009439,[0]
417,9287,0.009287,[1]
418,9255,0.009255,[0]
419,9402,0.009402,[1]
420,9347,0.009347,[0]
421,9604,0.009604,[1]
422,9479,0.009479,[0]
423,9591,0.009591,[1]
424,9757,0.009757,[0]
425,9659,0.009659,[1]
426,9985,0.009985,[0]
427,10306,0.010306,[1]
428,10585,0.010585,[0]
429,10562,0.010562,[1]
430,10192,0.010192,[0]
431,10319,0.010319,[1]
432,10416,0.010416,[0]
433,10491,0.010491,[1]
434,10186,0.010186,[0]
435,10297,0.010297,[1]
436,10278,0.010278,[0]
437,10360,0.01036,[1]
438,10732,0.010732,[0]
439,11079,0.011079,[1]
440,11132,0.011132,[0]
441,11256,0.011256,[1]
442,10747,0.010747,[0]
443,10386,0.010386,[1]
444,10189,0.010189,[0]
445,9833,0.009833,[1]
446,9826,0.009826,[0]
447,9780,0.00978,[1]
448,9820,0.00982,[0]
449,9532,0.009532,[1]
450,9353,0.009353,[0]
451,9162,0.009162,[1]
452,8994,0.008994,[0]
453,8892,0.008892,[1]
454,8814,0.008814,[0]
455,8839,0.008839,[1]
456,8605,0.008605,[0]
457,8450,0.00845,[1]
458,8316,0.008316,[0]
459,8319,0.008319,[1]
460,8399,0.008399,[0]
461,8364,0.008364,[1]
462,8422,0.008422,[0]
463,8384,0.008384,[1]
464,8188,0.008188,[0]
465,8213,0.008213,[1]
466,8175,0.008175,[0]
467,8094,0.008094,[1]
468,8073,0.008073,[0]
469,7944,0.007944,[1]
470,7953,0.007953,[0]
471,8126,0.008126,[1]
472,7975,0.007975,[0]
473,8140,0.00814,[1]
474,8292,0.008292,[0]
475,8220,0.00822,[1]
476,8375,0.008375,[0]
477,8751,0.008751,[1]
478,8991,0.008991,[0]
479,8793,0.008793,[1]
480,8816,0.008816,[0]
481,8886,0.008886,[1]
482,8881,0.008881,[0]
483,8674,0.008674,[1]
484,8872,0.008872,[0]
485,8847,0.008847,[1]
486,8873,0.008873,[0]
487,9346,0.009346,[1]
488,10212,0.010212,[0]
489,10910,0.01091,[1]
490,10911,0.010911,[0]
491,10259,0.010259,[1]
492,9639,0.009639,[0]
493,9434,0.009434,[1]
494,9253,0.009253,[0]
495,9404,0.009404,[1]
496,9427,0.009427,[0]
497,9966,0.009966,[1]
498,10245,0.010245,[0]
499,10615,0.010615,[1]
500,11286,0.011286,[0]
501,11203,0.011203,[1]
502,10759,0.010759,[0]
503,10773,0.010773,[1]
504,10832,0.010832,[0]
505,10973,0.010973,[1]
506,10830,0.01083,[0]
507,11262,0.011262,[1]
508,11541,0.011541,[0]
509,11297,0.011297,[1]
510,11174,0.011174,[0]
511,11008,0.011008,[1]
512,11157,0.011157,[0]
513,11079,0.011079,[1]
514,10771,0.010771,[0]
515,10322,0.010322,[1]
516,10328,0.010328,[0]
517,9894,0.009894,[1]
518,9796,0.009796,[0]
519,9781,0.009781,[1]
520,9675,0.009675,[0]
521,9498,0.009498,[1]
522,9572,0.009572,[0]
523,9493,0.009493,[1]
524,9430,0.00943,[0]
525,9192,0.009192,[1]
526,9016,0.009016,[0]
527,8928,0.008928,[1]
528,8637,0.008637,[0]
529,8508,0.008508,[1]
530,8470,0.00847,[0]
531,8983,0.008983,[1]
532,8915,0.008915,[0]
533,8923,0.008923,[1]
534,9098,0.009098,[0]
535,9042,0.009042,[1]
536,8722,0.008722,[0]
537,8536,0.008536,[1]
538,8444,0.008444,[0]
539,8450,0.00845,[1]
540,8472,0.008472,[0]
541,8729,0.008729,[1]
542,9256,0.009256,[0]
543,9370,0.00937,[1]
544,9005,0.009005,[0]
545,9076,0.009076,[1]
546,9192,0.009192,[0]
547,9064,0.009064,[1]
548,9172,0.009172,[0]
549,9490,0.00949,[1]
550,9724,0.009724,[0]
551,10068,0.010068,[1]
552,9909,0.009909,[0]
