[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082704_Curtin_Dom_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
278,7888,0.007888,[0]
279,7574,0.007574,[1]
280,7588,0.007588,[0]
281,7707,0.007707,[1]
282,7709,0.007709,[0]
283,7606,0.007606,[1]
284,7756,0.007756,[0]
285,7637,0.007637,[1]
286,7559,0.007559,[0]
287,7595,0.007595,[1]
288,7876,0.007876,[0]
289,7902,0.007902,[1]
290,7863,0.007863,[0]
291,7924,0.007924,[1]
292,8157,0.008157,[0]
293,8207,0.008207,[1]
294,8186,0.008186,[0]
295,8113,0.008113,[1]
296,8242,0.008242,[0]
297,8617,0.008617,[1]
298,8705,0.008705,[0]
299,8578,0.008578,[1]
300,8602,0.008602,[0]
301,8689,0.008689,[1]
302,8664,0.008664,[0]
303,9137,0.009137,[1]
304,9234,0.009234,[0]
305,9083,0.009083,[1]
306,8876,0.008876,[0]
307,8975,0.008975,[1]
308,9001,0.009001,[0]
309,8766,0.008766,[1]
310,8530,0.00853,[0]
311,8385,0.008385,[1]
312,8204,0.008204,[0]
313,8205,0.008205,[1]
314,8244,0.008244,[0]
315,8245,0.008245,[1]
316,8073,0.008073,[0]
317,7981,0.007981,[1]
318,7841,0.007841,[0]
319,7722,0.007722,[1]
320,7736,0.007736,[0]
321,7755,0.007755,[1]
322,7696,0.007696,[0]
323,7682,0.007682,[1]
324,7766,0.007766,[0]
325,7603,0.007603,[1]
326,7370,0.00737,[0]
327,7193,0.007193,[1]
328,7048,0.007048,[0]
329,7208,0.007208,[1]
330,7273,0.007273,[0]
331,7430,0.00743,[1]
332,7505,0.007505,[0]
333,7569,0.007569,[1]
334,7344,0.007344,[0]
335,7158,0.007158,[1]
336,7107,0.007107,[0]
337,7142,0.007142,[1]
338,7262,0.007262,[0]
339,7208,0.007208,[1]
340,7331,0.007331,[0]
341,7270,0.00727,[1]
342,7219,0.007219,[0]
343,7588,0.007588,[1]
344,7667,0.007667,[0]
345,7699,0.007699,[1]
346,7570,0.00757,[0]
347,7626,0.007626,[1]
348,7778,0.007778,[0]
349,7995,0.007995,[1]
350,8061,0.008061,[0]
351,8197,0.008197,[1]
352,8554,0.008554,[0]
353,8765,0.008765,[1]
354,8946,0.008946,[0]
355,8774,0.008774,[1]
