[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090932_Curtin_Dom_pirhanaSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
295,8367,0.008367,[1]
296,8100,0.0081,[0]
297,7828,0.007828,[1]
298,7892,0.007892,[0]
299,8483,0.008483,[1]
300,8972,0.008972,[0]
301,9582,0.009582,[1]
302,9349,0.009349,[0]
303,9595,0.009595,[1]
304,9312,0.009312,[0]
305,9109,0.009109,[1]
306,8919,0.008919,[0]
307,9196,0.009196,[1]
308,9615,0.009615,[0]
309,9637,0.009637,[1]
310,10068,0.010068,[0]
311,10402,0.010402,[1]
312,10292,0.010292,[0]
313,10132,0.010132,[1]
314,10403,0.010403,[0]
315,10377,0.010377,[1]
316,10385,0.010385,[0]
317,10020,0.01002,[1]
318,10275,0.010275,[0]
319,10135,0.010135,[1]
320,10138,0.010138,[0]
321,9994,0.009994,[1]
322,9824,0.009824,[0]
323,9605,0.009605,[1]
324,9371,0.009371,[0]
325,9386,0.009386,[1]
326,9283,0.009283,[0]
327,9096,0.009096,[1]
328,8912,0.008912,[0]
329,9009,0.009009,[1]
330,8939,0.008939,[0]
331,8820,0.00882,[1]
332,8611,0.008611,[0]
333,8529,0.008529,[1]
334,8436,0.008436,[0]
335,8396,0.008396,[1]
336,8298,0.008298,[0]
337,8289,0.008289,[1]
338,8274,0.008274,[0]
339,8154,0.008154,[1]
340,8239,0.008239,[0]
341,8739,0.008739,[1]
342,8555,0.008555,[0]
343,8583,0.008583,[1]
344,8562,0.008562,[0]
345,8538,0.008538,[1]
346,8489,0.008489,[0]
347,8441,0.008441,[1]
348,8434,0.008434,[0]
349,8359,0.008359,[1]
350,8308,0.008308,[0]
351,8242,0.008242,[1]
352,8342,0.008342,[0]
353,8326,0.008326,[1]
354,8381,0.008381,[0]
355,8478,0.008478,[1]
356,8535,0.008535,[0]
357,8849,0.008849,[1]
358,9042,0.009042,[0]
359,9167,0.009167,[1]
360,9447,0.009447,[0]
361,9553,0.009553,[1]
362,9434,0.009434,[0]
363,9756,0.009756,[1]
364,9640,0.00964,[0]
365,9918,0.009918,[1]
366,10315,0.010315,[0]
367,10387,0.010387,[1]
368,10223,0.010223,[0]
369,10029,0.010029,[1]
370,9913,0.009913,[0]
371,9924,0.009924,[1]
372,9839,0.009839,[0]
373,9839,0.009839,[1]
374,9910,0.00991,[0]
375,10019,0.010019,[1]
