[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092024_Long_Merle_205Paddle80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
329,10160,0.01016,[1]
330,10224,0.010224,[0]
331,10351,0.010351,[1]
332,10460,0.01046,[0]
333,10776,0.010776,[1]
334,10397,0.010397,[0]
335,10607,0.010607,[1]
336,10820,0.01082,[0]
337,11183,0.011183,[1]
338,10885,0.010885,[0]
339,10968,0.010968,[1]
340,11182,0.011182,[0]
341,11375,0.011375,[1]
342,11091,0.011091,[0]
343,11479,0.011479,[1]
344,11557,0.011557,[0]
345,11522,0.011522,[1]
346,11421,0.011421,[0]
347,11879,0.011879,[1]
348,11548,0.011548,[0]
349,10957,0.010957,[1]
350,10648,0.010648,[0]
351,10979,0.010979,[1]
352,11073,0.011073,[0]
353,10757,0.010757,[1]
354,10362,0.010362,[0]
355,10835,0.010835,[1]
356,11791,0.011791,[0]
357,11392,0.011392,[1]
358,10421,0.010421,[0]
359,10329,0.010329,[1]
360,10383,0.010383,[0]
361,9729,0.009729,[1]
362,9223,0.009223,[0]
363,8895,0.008895,[1]
364,8637,0.008637,[0]
365,8523,0.008523,[1]
366,8733,0.008733,[0]
367,8802,0.008802,[1]
368,8765,0.008765,[0]
369,8910,0.00891,[1]
370,8779,0.008779,[0]
371,8720,0.00872,[1]
372,8658,0.008658,[0]
373,8667,0.008667,[1]
374,8516,0.008516,[0]
375,8361,0.008361,[1]
376,8421,0.008421,[0]
377,8825,0.008825,[1]
378,8694,0.008694,[0]
379,8578,0.008578,[1]
380,8904,0.008904,[0]
381,9048,0.009048,[1]
382,8952,0.008952,[0]
383,8793,0.008793,[1]
384,8571,0.008571,[0]
385,8634,0.008634,[1]
386,8616,0.008616,[0]
387,8793,0.008793,[1]
388,8980,0.00898,[0]
389,9299,0.009299,[1]
390,9295,0.009295,[0]
391,9313,0.009313,[1]
392,9195,0.009195,[0]
393,9329,0.009329,[1]
394,9302,0.009302,[0]
395,9379,0.009379,[1]
396,9289,0.009289,[0]
397,9305,0.009305,[1]
398,9137,0.009137,[0]
399,9338,0.009338,[1]
400,9429,0.009429,[0]
401,9371,0.009371,[1]
402,9698,0.009698,[0]
403,9893,0.009893,[1]
404,9984,0.009984,[0]
405,9969,0.009969,[1]
406,10181,0.010181,[0]
407,10069,0.010069,[1]
408,10017,0.010017,[0]
409,9909,0.009909,[1]
410,10130,0.01013,[0]
411,10123,0.010123,[1]
412,10225,0.010225,[0]
413,10212,0.010212,[1]
414,10734,0.010734,[0]
415,10854,0.010854,[1]
416,10710,0.01071,[0]
417,10515,0.010515,[1]
418,10481,0.010481,[0]
419,10453,0.010453,[1]
420,10894,0.010894,[0]
421,11292,0.011292,[1]
422,11733,0.011733,[0]
423,11750,0.01175,[1]
424,11600,0.0116,[0]
425,11471,0.011471,[1]
426,11353,0.011353,[0]
427,11069,0.011069,[1]
428,10959,0.010959,[0]
429,11132,0.011132,[1]
430,11644,0.011644,[0]
431,11436,0.011436,[1]
432,11290,0.01129,[0]
433,11168,0.011168,[1]
434,10883,0.010883,[0]
435,10665,0.010665,[1]
436,10549,0.010549,[0]
437,10279,0.010279,[1]
438,10169,0.010169,[0]
439,9996,0.009996,[1]
440,9891,0.009891,[0]
441,10075,0.010075,[1]
442,9854,0.009854,[0]
443,9628,0.009628,[1]
444,9410,0.00941,[0]
445,9224,0.009224,[1]
446,9165,0.009165,[0]
447,9091,0.009091,[1]
448,9115,0.009115,[0]
449,8939,0.008939,[1]
450,8812,0.008812,[0]
451,8739,0.008739,[1]
452,8722,0.008722,[0]
453,8615,0.008615,[1]
454,8539,0.008539,[0]
455,8671,0.008671,[1]
456,8794,0.008794,[0]
457,8866,0.008866,[1]
458,8716,0.008716,[0]
459,8569,0.008569,[1]
460,8473,0.008473,[0]
461,8492,0.008492,[1]
462,8397,0.008397,[0]
463,8521,0.008521,[1]
464,8510,0.00851,[0]
465,8561,0.008561,[1]
466,8524,0.008524,[0]
467,8535,0.008535,[1]
468,8986,0.008986,[0]
469,9063,0.009063,[1]
470,9264,0.009264,[0]
471,9570,0.00957,[1]
472,9555,0.009555,[0]
473,9349,0.009349,[1]
474,9164,0.009164,[0]
475,9090,0.00909,[1]
476,9029,0.009029,[0]
477,9191,0.009191,[1]
478,9276,0.009276,[0]
479,9337,0.009337,[1]
480,9138,0.009138,[0]
481,9646,0.009646,[1]
482,9666,0.009666,[0]
483,9765,0.009765,[1]
484,9727,0.009727,[0]
485,9996,0.009996,[1]
486,10041,0.010041,[0]
487,10008,0.010008,[1]
488,9712,0.009712,[0]
489,10053,0.010053,[1]
490,10835,0.010835,[0]
491,11373,0.011373,[1]
492,11084,0.011084,[0]
493,11021,0.011021,[1]
494,10637,0.010637,[0]
495,10449,0.010449,[1]
496,10121,0.010121,[0]
497,10113,0.010113,[1]
498,10449,0.010449,[0]
499,10747,0.010747,[1]
500,11073,0.011073,[0]
501,11588,0.011588,[1]
502,11454,0.011454,[0]
503,11313,0.011313,[1]
504,11645,0.011645,[0]
505,11579,0.011579,[1]
506,11523,0.011523,[0]
507,11022,0.011022,[1]
508,10827,0.010827,[0]
509,10818,0.010818,[1]
510,10530,0.01053,[0]
511,10516,0.010516,[1]
512,10197,0.010197,[0]
513,10215,0.010215,[1]
514,9662,0.009662,[0]
515,9851,0.009851,[1]
516,10047,0.010047,[0]
517,9821,0.009821,[1]
518,9427,0.009427,[0]
519,9144,0.009144,[1]
520,9029,0.009029,[0]
521,8914,0.008914,[1]
522,8862,0.008862,[0]
523,8838,0.008838,[1]
524,8787,0.008787,[0]
525,8875,0.008875,[1]
526,8874,0.008874,[0]
527,9026,0.009026,[1]
528,8969,0.008969,[0]
529,8627,0.008627,[1]
530,8498,0.008498,[0]
531,8529,0.008529,[1]
532,8388,0.008388,[0]
533,8329,0.008329,[1]
534,8357,0.008357,[0]
535,8565,0.008565,[1]
536,8825,0.008825,[0]
537,8904,0.008904,[1]
538,8704,0.008704,[0]
539,8768,0.008768,[1]
540,8941,0.008941,[0]
541,8840,0.00884,[1]
542,8605,0.008605,[0]
543,8462,0.008462,[1]
544,8320,0.00832,[0]
545,8274,0.008274,[1]
546,8402,0.008402,[0]
547,8387,0.008387,[1]
548,8406,0.008406,[0]
549,8694,0.008694,[1]
550,9101,0.009101,[0]
551,9336,0.009336,[1]
552,9230,0.00923,[0]
553,9267,0.009267,[1]
554,9057,0.009057,[0]
555,9004,0.009004,[1]
556,8886,0.008886,[0]
557,8800,0.0088,[1]
558,8979,0.008979,[0]
559,8965,0.008965,[1]
560,9078,0.009078,[0]
561,9496,0.009496,[1]
562,9663,0.009663,[0]
563,9837,0.009837,[1]
564,9895,0.009895,[0]
565,9771,0.009771,[1]
566,9932,0.009932,[0]
567,9942,0.009942,[1]
568,10318,0.010318,[0]
569,10129,0.010129,[1]
570,10151,0.010151,[0]
571,10442,0.010442,[1]
572,10270,0.01027,[0]
573,10256,0.010256,[1]
574,10692,0.010692,[0]
575,10725,0.010725,[1]
576,11035,0.011035,[0]
577,10792,0.010792,[1]
578,10530,0.01053,[0]
579,10934,0.010934,[1]
580,10898,0.010898,[0]
581,11041,0.011041,[1]
582,11245,0.011245,[0]
583,11045,0.011045,[1]
584,10865,0.010865,[0]
585,10890,0.01089,[1]
586,10785,0.010785,[0]
587,10445,0.010445,[1]
588,9947,0.009947,[0]
589,9941,0.009941,[1]
590,9848,0.009848,[0]
591,9780,0.00978,[1]
592,9479,0.009479,[0]
593,9381,0.009381,[1]
594,9335,0.009335,[0]
595,9278,0.009278,[1]
596,9252,0.009252,[0]
597,9246,0.009246,[1]
598,9070,0.00907,[0]
599,8914,0.008914,[1]
600,8924,0.008924,[0]
601,9191,0.009191,[1]
602,9345,0.009345,[0]
603,9149,0.009149,[1]
604,8963,0.008963,[0]
605,9074,0.009074,[1]
606,9221,0.009221,[0]
607,8983,0.008983,[1]
608,8856,0.008856,[0]
609,8573,0.008573,[1]
610,8441,0.008441,[0]
611,8516,0.008516,[1]
612,9031,0.009031,[0]
613,9027,0.009027,[1]
614,8872,0.008872,[0]
615,9310,0.00931,[1]
616,9511,0.009511,[0]
617,9204,0.009204,[1]
618,8870,0.00887,[0]
619,8591,0.008591,[1]
620,8572,0.008572,[0]
621,8554,0.008554,[1]
622,8516,0.008516,[0]
623,9332,0.009332,[1]
624,10254,0.010254,[0]
625,10488,0.010488,[1]
626,10763,0.010763,[0]
627,10280,0.01028,[1]
628,9598,0.009598,[0]
629,9112,0.009112,[1]
630,8822,0.008822,[0]
631,8527,0.008527,[1]
632,8271,0.008271,[0]
633,8364,0.008364,[1]
634,8683,0.008683,[0]
635,9051,0.009051,[1]
636,10050,0.01005,[0]
637,10383,0.010383,[1]
638,10483,0.010483,[0]
639,10254,0.010254,[1]
640,10178,0.010178,[0]
641,9952,0.009952,[1]
642,9611,0.009611,[0]
643,9553,0.009553,[1]
644,9501,0.009501,[0]
645,9781,0.009781,[1]
646,9758,0.009758,[0]
647,10642,0.010642,[1]
648,10788,0.010788,[0]
649,10738,0.010738,[1]
650,10476,0.010476,[0]
651,10596,0.010596,[1]
652,10686,0.010686,[0]
653,10540,0.01054,[1]
654,10497,0.010497,[0]
655,10610,0.01061,[1]
656,10688,0.010688,[0]
657,10847,0.010847,[1]
658,10834,0.010834,[0]
659,10984,0.010984,[1]
660,10884,0.010884,[0]
661,10991,0.010991,[1]
662,11266,0.011266,[0]
663,11422,0.011422,[1]
664,11174,0.011174,[0]
665,10983,0.010983,[1]
666,10924,0.010924,[0]
667,10625,0.010625,[1]
668,10358,0.010358,[0]
669,10123,0.010123,[1]
670,10121,0.010121,[0]
671,10170,0.01017,[1]
672,9911,0.009911,[0]
673,9895,0.009895,[1]
674,9848,0.009848,[0]
675,9861,0.009861,[1]
676,9766,0.009766,[0]
677,9685,0.009685,[1]
678,9556,0.009556,[0]
679,9401,0.009401,[1]
680,9254,0.009254,[0]
681,9253,0.009253,[1]
682,9135,0.009135,[0]
683,8995,0.008995,[1]
684,8838,0.008838,[0]
685,8772,0.008772,[1]
686,8819,0.008819,[0]
687,8874,0.008874,[1]
688,8892,0.008892,[0]
689,8919,0.008919,[1]
690,8892,0.008892,[0]
691,9011,0.009011,[1]
