[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_084419_Long_Merle_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
258,8275,0.008275,[0]
259,8631,0.008631,[1]
260,8755,0.008755,[0]
261,9255,0.009255,[1]
262,9005,0.009005,[0]
263,8954,0.008954,[1]
264,8877,0.008877,[0]
265,8807,0.008807,[1]
266,8536,0.008536,[0]
267,8816,0.008816,[1]
268,9123,0.009123,[0]
269,9153,0.009153,[1]
270,9078,0.009078,[0]
271,8996,0.008996,[1]
272,8806,0.008806,[0]
273,8566,0.008566,[1]
274,8237,0.008237,[0]
275,7985,0.007985,[1]
276,7824,0.007824,[0]
277,7756,0.007756,[1]
278,7749,0.007749,[0]
279,7513,0.007513,[1]
280,7364,0.007364,[0]
281,7253,0.007253,[1]
282,7455,0.007455,[0]
283,7410,0.00741,[1]
284,7292,0.007292,[0]
285,7409,0.007409,[1]
286,7426,0.007426,[0]
287,7249,0.007249,[1]
288,7161,0.007161,[0]
289,7035,0.007035,[1]
290,7139,0.007139,[0]
291,7146,0.007146,[1]
292,7146,0.007146,[0]
293,7260,0.00726,[1]
294,7344,0.007344,[0]
295,7401,0.007401,[1]
296,7524,0.007524,[0]
297,7330,0.00733,[1]
298,7462,0.007462,[0]
299,7300,0.0073,[1]
300,7205,0.007205,[0]
301,7247,0.007247,[1]
302,7427,0.007427,[0]
303,7420,0.00742,[1]
304,7707,0.007707,[0]
305,8014,0.008014,[1]
306,7998,0.007998,[0]
307,8226,0.008226,[1]
308,8705,0.008705,[0]
309,9295,0.009295,[1]
310,9735,0.009735,[0]
311,9963,0.009963,[1]
312,9823,0.009823,[0]
313,9452,0.009452,[1]
314,8908,0.008908,[0]
315,8840,0.00884,[1]
316,9082,0.009082,[0]
317,9155,0.009155,[1]
318,9002,0.009002,[0]
319,9180,0.00918,[1]
320,9027,0.009027,[0]
321,8710,0.00871,[1]
322,8462,0.008462,[0]
323,8615,0.008615,[1]
324,8671,0.008671,[0]
325,8351,0.008351,[1]
326,8144,0.008144,[0]
327,8113,0.008113,[1]
328,8224,0.008224,[0]
329,8098,0.008098,[1]
330,8024,0.008024,[0]
331,7877,0.007877,[1]
332,7782,0.007782,[0]
333,7732,0.007732,[1]
334,7612,0.007612,[0]
335,7600,0.0076,[1]
336,7630,0.00763,[0]
337,7632,0.007632,[1]
338,7749,0.007749,[0]
339,7639,0.007639,[1]
340,7525,0.007525,[0]
341,7620,0.00762,[1]
342,7534,0.007534,[0]
343,7829,0.007829,[1]
344,7859,0.007859,[0]
345,7923,0.007923,[1]
346,8125,0.008125,[0]
347,8122,0.008122,[1]
348,8116,0.008116,[0]
349,8374,0.008374,[1]
350,8396,0.008396,[0]
351,8498,0.008498,[1]
352,8742,0.008742,[0]
353,8974,0.008974,[1]
354,9256,0.009256,[0]
355,9395,0.009395,[1]
356,9319,0.009319,[0]
357,9516,0.009516,[1]
358,9208,0.009208,[0]
359,8885,0.008885,[1]
360,8641,0.008641,[0]
361,8750,0.00875,[1]
362,9117,0.009117,[0]
363,9027,0.009027,[1]
364,8726,0.008726,[0]
365,8707,0.008707,[1]
366,8820,0.00882,[0]
367,8606,0.008606,[1]
368,8302,0.008302,[0]
369,7963,0.007963,[1]
370,7676,0.007676,[0]
371,7472,0.007472,[1]
372,7280,0.00728,[0]
373,7103,0.007103,[1]
374,6986,0.006986,[0]
375,6852,0.006852,[1]
376,6888,0.006888,[0]
377,7120,0.00712,[1]
378,7470,0.00747,[0]
379,7441,0.007441,[1]
380,7478,0.007478,[0]
381,7507,0.007507,[1]
382,7385,0.007385,[0]
383,7203,0.007203,[1]
384,7301,0.007301,[0]
385,7222,0.007222,[1]
