[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092406_Long_Merle_205PaddleSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
289,9150,0.00915,[1]
290,8970,0.00897,[0]
291,8763,0.008763,[1]
292,8709,0.008709,[0]
293,8554,0.008554,[1]
294,8505,0.008505,[0]
295,8539,0.008539,[1]
296,8461,0.008461,[0]
297,8460,0.00846,[1]
298,8442,0.008442,[0]
299,8404,0.008404,[1]
300,8448,0.008448,[0]
301,8590,0.00859,[1]
302,8623,0.008623,[0]
303,8469,0.008469,[1]
304,8290,0.00829,[0]
305,8112,0.008112,[1]
306,7976,0.007976,[0]
307,7901,0.007901,[1]
308,7791,0.007791,[0]
309,7817,0.007817,[1]
310,7755,0.007755,[0]
311,7663,0.007663,[1]
312,7729,0.007729,[0]
313,7946,0.007946,[1]
314,8124,0.008124,[0]
315,8098,0.008098,[1]
316,8324,0.008324,[0]
317,8419,0.008419,[1]
318,8379,0.008379,[0]
319,8339,0.008339,[1]
320,8334,0.008334,[0]
321,8390,0.00839,[1]
322,8324,0.008324,[0]
323,8379,0.008379,[1]
324,8415,0.008415,[0]
325,8659,0.008659,[1]
326,8753,0.008753,[0]
327,9027,0.009027,[1]
328,8976,0.008976,[0]
329,9346,0.009346,[1]
330,9597,0.009597,[0]
331,9531,0.009531,[1]
332,9418,0.009418,[0]
333,9300,0.0093,[1]
334,9363,0.009363,[0]
335,9620,0.00962,[1]
336,10001,0.010001,[0]
337,10397,0.010397,[1]
338,10342,0.010342,[0]
339,10137,0.010137,[1]
340,10011,0.010011,[0]
341,9986,0.009986,[1]
342,9819,0.009819,[0]
343,9984,0.009984,[1]
344,10035,0.010035,[0]
345,10179,0.010179,[1]
346,10308,0.010308,[0]
347,10118,0.010118,[1]
348,9804,0.009804,[0]
349,9610,0.00961,[1]
350,9418,0.009418,[0]
351,9280,0.00928,[1]
352,9148,0.009148,[0]
353,9002,0.009002,[1]
354,8850,0.00885,[0]
355,8716,0.008716,[1]
356,8603,0.008603,[0]
357,8486,0.008486,[1]
358,8334,0.008334,[0]
359,8251,0.008251,[1]
360,8177,0.008177,[0]
361,8138,0.008138,[1]
362,8031,0.008031,[0]
363,8085,0.008085,[1]
364,8106,0.008106,[0]
365,8136,0.008136,[1]
366,8053,0.008053,[0]
367,8021,0.008021,[1]
368,7960,0.00796,[0]
369,7877,0.007877,[1]
370,7839,0.007839,[0]
371,7848,0.007848,[1]
372,7897,0.007897,[0]
373,7895,0.007895,[1]
374,7887,0.007887,[0]
375,8049,0.008049,[1]
376,8058,0.008058,[0]
377,8266,0.008266,[1]
378,8433,0.008433,[0]
379,8506,0.008506,[1]
380,8615,0.008615,[0]
381,8641,0.008641,[1]
382,8634,0.008634,[0]
383,8604,0.008604,[1]
384,8301,0.008301,[0]
385,8124,0.008124,[1]
386,8196,0.008196,[0]
387,8398,0.008398,[1]
388,8609,0.008609,[0]
389,9133,0.009133,[1]
390,9733,0.009733,[0]
391,9779,0.009779,[1]
392,9474,0.009474,[0]
393,9068,0.009068,[1]
394,8878,0.008878,[0]
395,8665,0.008665,[1]
396,8669,0.008669,[0]
397,9049,0.009049,[1]
398,9391,0.009391,[0]
399,9533,0.009533,[1]
400,9947,0.009947,[0]
401,9998,0.009998,[1]
402,9822,0.009822,[0]
403,9625,0.009625,[1]
404,9567,0.009567,[0]
405,9929,0.009929,[1]
406,9791,0.009791,[0]
407,10059,0.010059,[1]
408,10260,0.01026,[0]
409,10333,0.010333,[1]
410,10251,0.010251,[0]
411,10349,0.010349,[1]
412,10318,0.010318,[0]
413,10165,0.010165,[1]
414,9840,0.00984,[0]
415,9770,0.00977,[1]
416,9665,0.009665,[0]
417,9421,0.009421,[1]
418,9292,0.009292,[0]
419,9309,0.009309,[1]
420,9228,0.009228,[0]
421,9021,0.009021,[1]
422,9043,0.009043,[0]
423,8902,0.008902,[1]
424,8715,0.008715,[0]
425,8556,0.008556,[1]
426,8511,0.008511,[0]
427,8488,0.008488,[1]
428,8529,0.008529,[0]
429,8392,0.008392,[1]
430,8537,0.008537,[0]
431,8639,0.008639,[1]
432,8475,0.008475,[0]
433,8294,0.008294,[1]
434,8131,0.008131,[0]
435,8058,0.008058,[1]
436,8005,0.008005,[0]
437,8096,0.008096,[1]
438,8108,0.008108,[0]
439,8063,0.008063,[1]
440,7974,0.007974,[0]
441,8015,0.008015,[1]
442,8191,0.008191,[0]
443,8143,0.008143,[1]
444,8185,0.008185,[0]
445,8180,0.00818,[1]
446,8112,0.008112,[0]
447,8062,0.008062,[1]
448,8101,0.008101,[0]
449,8039,0.008039,[1]
450,7985,0.007985,[0]
451,8003,0.008003,[1]
452,8081,0.008081,[0]
453,8368,0.008368,[1]
454,8454,0.008454,[0]
455,8650,0.00865,[1]
456,8986,0.008986,[0]
457,8884,0.008884,[1]
458,8797,0.008797,[0]
459,9072,0.009072,[1]
460,9217,0.009217,[0]
461,9141,0.009141,[1]
462,9072,0.009072,[0]
463,9009,0.009009,[1]
464,9024,0.009024,[0]
465,9294,0.009294,[1]
466,9425,0.009425,[0]
467,9491,0.009491,[1]
468,9971,0.009971,[0]
469,10113,0.010113,[1]
470,9933,0.009933,[0]
471,10002,0.010002,[1]
472,10126,0.010126,[0]
473,10232,0.010232,[1]
474,10112,0.010112,[0]
475,10416,0.010416,[1]
476,10651,0.010651,[0]
477,10736,0.010736,[1]
478,10625,0.010625,[0]
479,10719,0.010719,[1]
480,10654,0.010654,[0]
481,10558,0.010558,[1]
482,10484,0.010484,[0]
483,10307,0.010307,[1]
484,10093,0.010093,[0]
485,9883,0.009883,[1]
486,9728,0.009728,[0]
487,9600,0.0096,[1]
488,9451,0.009451,[0]
489,9268,0.009268,[1]
490,9228,0.009228,[0]
491,9191,0.009191,[1]
