[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092751_Long_Merle_205PaddleMaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
360,8552,0.008552,[0]
361,8856,0.008856,[1]
362,8679,0.008679,[0]
363,8461,0.008461,[1]
364,8168,0.008168,[0]
365,7930,0.00793,[1]
366,7647,0.007647,[0]
367,7491,0.007491,[1]
368,7406,0.007406,[0]
369,7312,0.007312,[1]
370,7169,0.007169,[0]
371,7311,0.007311,[1]
372,7394,0.007394,[0]
373,7518,0.007518,[1]
374,7410,0.00741,[0]
375,7521,0.007521,[1]
376,7547,0.007547,[0]
377,7460,0.00746,[1]
378,7369,0.007369,[0]
379,7290,0.00729,[1]
380,7364,0.007364,[0]
381,7273,0.007273,[1]
382,7207,0.007207,[0]
383,7267,0.007267,[1]
384,7389,0.007389,[0]
385,7259,0.007259,[1]
386,7326,0.007326,[0]
387,7433,0.007433,[1]
388,7407,0.007407,[0]
389,7439,0.007439,[1]
390,7732,0.007732,[0]
391,7781,0.007781,[1]
392,7871,0.007871,[0]
393,8235,0.008235,[1]
394,8556,0.008556,[0]
395,8608,0.008608,[1]
396,8501,0.008501,[0]
397,8432,0.008432,[1]
398,8372,0.008372,[0]
399,8328,0.008328,[1]
400,8435,0.008435,[0]
401,8828,0.008828,[1]
402,8899,0.008899,[0]
403,8876,0.008876,[1]
404,9184,0.009184,[0]
405,9323,0.009323,[1]
406,9291,0.009291,[0]
407,9204,0.009204,[1]
408,9148,0.009148,[0]
409,8957,0.008957,[1]
410,8831,0.008831,[0]
411,8673,0.008673,[1]
412,8585,0.008585,[0]
413,8861,0.008861,[1]
414,8649,0.008649,[0]
415,8472,0.008472,[1]
416,8262,0.008262,[0]
417,8137,0.008137,[1]
418,8060,0.00806,[0]
419,7954,0.007954,[1]
420,7910,0.00791,[0]
421,7861,0.007861,[1]
422,7827,0.007827,[0]
423,8092,0.008092,[1]
424,8101,0.008101,[0]
425,7976,0.007976,[1]
426,7846,0.007846,[0]
427,7754,0.007754,[1]
428,7724,0.007724,[0]
429,7593,0.007593,[1]
430,7588,0.007588,[0]
431,7694,0.007694,[1]
432,7742,0.007742,[0]
433,7706,0.007706,[1]
434,7691,0.007691,[0]
435,7725,0.007725,[1]
436,7777,0.007777,[0]
437,7781,0.007781,[1]
438,7846,0.007846,[0]
439,7914,0.007914,[1]
440,7938,0.007938,[0]
441,7858,0.007858,[1]
442,8049,0.008049,[0]
443,8058,0.008058,[1]
444,8044,0.008044,[0]
445,8194,0.008194,[1]
446,8400,0.0084,[0]
447,8727,0.008727,[1]
448,8721,0.008721,[0]
449,9028,0.009028,[1]
450,9139,0.009139,[0]
451,9155,0.009155,[1]
452,9031,0.009031,[0]
453,9051,0.009051,[1]
454,9076,0.009076,[0]
455,9146,0.009146,[1]
456,9085,0.009085,[0]
457,9035,0.009035,[1]
458,9022,0.009022,[0]
459,9034,0.009034,[1]
460,8956,0.008956,[0]
461,8840,0.00884,[1]
462,8740,0.00874,[0]
463,8591,0.008591,[1]
464,8443,0.008443,[0]
465,8349,0.008349,[1]
466,8226,0.008226,[0]
467,8095,0.008095,[1]
