[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_083124_Long_Merle_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
484,8988,0.008988,[0]
485,8800,0.0088,[1]
486,8851,0.008851,[0]
487,9278,0.009278,[1]
488,9212,0.009212,[0]
489,9473,0.009473,[1]
490,9539,0.009539,[0]
491,9435,0.009435,[1]
492,9218,0.009218,[0]
493,9183,0.009183,[1]
494,9008,0.009008,[0]
495,8843,0.008843,[1]
496,8690,0.00869,[0]
497,8952,0.008952,[1]
498,9037,0.009037,[0]
499,9054,0.009054,[1]
500,8852,0.008852,[0]
501,8750,0.00875,[1]
502,8770,0.00877,[0]
503,8725,0.008725,[1]
504,8794,0.008794,[0]
505,8895,0.008895,[1]
506,9130,0.00913,[0]
507,9019,0.009019,[1]
508,8990,0.00899,[0]
509,9105,0.009105,[1]
510,9169,0.009169,[0]
511,9018,0.009018,[1]
512,9387,0.009387,[0]
513,9408,0.009408,[1]
514,9663,0.009663,[0]
515,9406,0.009406,[1]
516,9475,0.009475,[0]
517,9512,0.009512,[1]
518,9428,0.009428,[0]
519,9285,0.009285,[1]
520,9909,0.009909,[0]
521,10150,0.01015,[1]
522,10129,0.010129,[0]
523,10287,0.010287,[1]
524,10229,0.010229,[0]
525,9965,0.009965,[1]
526,9731,0.009731,[0]
527,9659,0.009659,[1]
528,9954,0.009954,[0]
529,10459,0.010459,[1]
530,10451,0.010451,[0]
531,10446,0.010446,[1]
532,10366,0.010366,[0]
533,10364,0.010364,[1]
534,10325,0.010325,[0]
535,10317,0.010317,[1]
536,10578,0.010578,[0]
537,11007,0.011007,[1]
538,11232,0.011232,[0]
539,11118,0.011118,[1]
540,10877,0.010877,[0]
541,10824,0.010824,[1]
542,10599,0.010599,[0]
543,10813,0.010813,[1]
544,11050,0.01105,[0]
545,11202,0.011202,[1]
546,11344,0.011344,[0]
547,11521,0.011521,[1]
548,11288,0.011288,[0]
549,11174,0.011174,[1]
550,11268,0.011268,[0]
551,11261,0.011261,[1]
552,11434,0.011434,[0]
553,11477,0.011477,[1]
554,11825,0.011825,[0]
555,12061,0.012061,[1]
556,12144,0.012144,[0]
557,11967,0.011967,[1]
558,11825,0.011825,[0]
559,11417,0.011417,[1]
560,11687,0.011687,[0]
561,11697,0.011697,[1]
562,11608,0.011608,[0]
563,11633,0.011633,[1]
564,11050,0.01105,[0]
565,10521,0.010521,[1]
566,10252,0.010252,[0]
567,10245,0.010245,[1]
568,10166,0.010166,[0]
569,10370,0.01037,[1]
570,10180,0.01018,[0]
571,10084,0.010084,[1]
572,10402,0.010402,[0]
573,10137,0.010137,[1]
574,9711,0.009711,[0]
575,9534,0.009534,[1]
576,9445,0.009445,[0]
577,9217,0.009217,[1]
578,9221,0.009221,[0]
579,9220,0.00922,[1]
580,9028,0.009028,[0]
581,8887,0.008887,[1]
582,8978,0.008978,[0]
583,9026,0.009026,[1]
584,8912,0.008912,[0]
585,9030,0.00903,[1]
586,9095,0.009095,[0]
587,9313,0.009313,[1]
588,9105,0.009105,[0]
589,9020,0.00902,[1]
590,8831,0.008831,[0]
591,8819,0.008819,[1]
592,8674,0.008674,[0]
593,8814,0.008814,[1]
594,9184,0.009184,[0]
595,9340,0.00934,[1]
596,9280,0.00928,[0]
597,9557,0.009557,[1]
598,9285,0.009285,[0]
599,8936,0.008936,[1]
600,8720,0.00872,[0]
601,8437,0.008437,[1]
602,8339,0.008339,[0]
603,8468,0.008468,[1]
604,8980,0.00898,[0]
605,9227,0.009227,[1]
606,9400,0.0094,[0]
607,9512,0.009512,[1]
608,9683,0.009683,[0]
609,9566,0.009566,[1]
610,9691,0.009691,[0]
611,10075,0.010075,[1]
612,10338,0.010338,[0]
613,10056,0.010056,[1]
614,9529,0.009529,[0]
615,9272,0.009272,[1]
616,9075,0.009075,[0]
617,8757,0.008757,[1]
618,8940,0.00894,[0]
619,9483,0.009483,[1]
620,9994,0.009994,[0]
621,10408,0.010408,[1]
622,10943,0.010943,[0]
623,11092,0.011092,[1]
624,10742,0.010742,[0]
625,10226,0.010226,[1]
626,10278,0.010278,[0]
627,10299,0.010299,[1]
628,10236,0.010236,[0]
629,10274,0.010274,[1]
630,10566,0.010566,[0]
631,10556,0.010556,[1]
632,10193,0.010193,[0]
633,10460,0.01046,[1]
634,10563,0.010563,[0]
635,10660,0.01066,[1]
636,10644,0.010644,[0]
637,10964,0.010964,[1]
638,11543,0.011543,[0]
639,11701,0.011701,[1]
640,11377,0.011377,[0]
641,11567,0.011567,[1]
642,11222,0.011222,[0]
643,10924,0.010924,[1]
644,10880,0.01088,[0]
645,10965,0.010965,[1]
646,10970,0.01097,[0]
647,11093,0.011093,[1]
648,11487,0.011487,[0]
649,11626,0.011626,[1]
650,11403,0.011403,[0]
651,11328,0.011328,[1]
652,11713,0.011713,[0]
653,11706,0.011706,[1]
654,11221,0.011221,[0]
655,10930,0.01093,[1]
656,10876,0.010876,[0]
657,11164,0.011164,[1]
658,10807,0.010807,[0]
659,10462,0.010462,[1]
660,10212,0.010212,[0]
661,10009,0.010009,[1]
662,9664,0.009664,[0]
663,9651,0.009651,[1]
664,9550,0.00955,[0]
665,9536,0.009536,[1]
666,9418,0.009418,[0]
667,9286,0.009286,[1]
668,9127,0.009127,[0]
669,9175,0.009175,[1]
670,9113,0.009113,[0]
671,9024,0.009024,[1]
672,8852,0.008852,[0]
673,8926,0.008926,[1]
674,8834,0.008834,[0]
675,8728,0.008728,[1]
676,8613,0.008613,[0]
677,8574,0.008574,[1]
678,8589,0.008589,[0]
679,8710,0.00871,[1]
680,8739,0.008739,[0]
681,9034,0.009034,[1]
682,9200,0.0092,[0]
683,9227,0.009227,[1]
684,8932,0.008932,[0]
685,8723,0.008723,[1]
686,8586,0.008586,[0]
687,8501,0.008501,[1]
688,8458,0.008458,[0]
689,8520,0.00852,[1]
690,8610,0.00861,[0]
691,8853,0.008853,[1]
692,8744,0.008744,[0]
693,8926,0.008926,[1]
694,8859,0.008859,[0]
695,8653,0.008653,[1]
696,8648,0.008648,[0]
697,8893,0.008893,[1]
698,8954,0.008954,[0]
699,8890,0.00889,[1]
700,8958,0.008958,[0]
701,8842,0.008842,[1]
702,9036,0.009036,[0]
703,8946,0.008946,[1]
704,9009,0.009009,[0]
705,9400,0.0094,[1]
706,9430,0.00943,[0]
707,9511,0.009511,[1]
708,9423,0.009423,[0]
709,9339,0.009339,[1]
710,9491,0.009491,[0]
711,9545,0.009545,[1]
712,9559,0.009559,[0]
713,9533,0.009533,[1]
714,9379,0.009379,[0]
715,9384,0.009384,[1]
716,9567,0.009567,[0]
717,9658,0.009658,[1]
718,9827,0.009827,[0]
719,10181,0.010181,[1]
720,10443,0.010443,[0]
721,10294,0.010294,[1]
722,10592,0.010592,[0]
723,10524,0.010524,[1]
724,10316,0.010316,[0]
725,10017,0.010017,[1]
726,10008,0.010008,[0]
727,10319,0.010319,[1]
728,10234,0.010234,[0]
729,10103,0.010103,[1]
730,10366,0.010366,[0]
731,10752,0.010752,[1]
732,10707,0.010707,[0]
733,10664,0.010664,[1]
734,11216,0.011216,[0]
735,10990,0.01099,[1]
736,10816,0.010816,[0]
737,10575,0.010575,[1]
738,10870,0.01087,[0]
739,11001,0.011001,[1]
740,11835,0.011835,[0]
741,12290,0.01229,[1]
742,12040,0.01204,[0]
743,11564,0.011564,[1]
744,11060,0.01106,[0]
745,10607,0.010607,[1]
746,10637,0.010637,[0]
747,10408,0.010408,[1]
748,10192,0.010192,[0]
749,10162,0.010162,[1]
750,10212,0.010212,[0]
751,10401,0.010401,[1]
752,10377,0.010377,[0]
753,11031,0.011031,[1]
754,11006,0.011006,[0]
755,10625,0.010625,[1]
756,10310,0.01031,[0]
757,10313,0.010313,[1]
758,10094,0.010094,[0]
759,9793,0.009793,[1]
760,9455,0.009455,[0]
761,9239,0.009239,[1]
762,9107,0.009107,[0]
763,9053,0.009053,[1]
764,9130,0.00913,[0]
765,9283,0.009283,[1]
766,9326,0.009326,[0]
767,9307,0.009307,[1]
768,9350,0.00935,[0]
769,9389,0.009389,[1]
770,9221,0.009221,[0]
771,8889,0.008889,[1]
772,8751,0.008751,[0]
773,8655,0.008655,[1]
774,8625,0.008625,[0]
775,8404,0.008404,[1]
776,8304,0.008304,[0]
777,8495,0.008495,[1]
778,8495,0.008495,[0]
779,8626,0.008626,[1]
780,8770,0.00877,[0]
781,8901,0.008901,[1]
782,8705,0.008705,[0]
783,8963,0.008963,[1]
784,8853,0.008853,[0]
785,8908,0.008908,[1]
786,8703,0.008703,[0]
787,8669,0.008669,[1]
788,8644,0.008644,[0]
789,8478,0.008478,[1]
790,8367,0.008367,[0]
791,8287,0.008287,[1]
792,8318,0.008318,[0]
793,8430,0.00843,[1]
794,8430,0.00843,[0]
795,8609,0.008609,[1]
796,8691,0.008691,[0]
797,8570,0.00857,[1]
798,8723,0.008723,[0]
799,9080,0.00908,[1]
800,8996,0.008996,[0]
801,8838,0.008838,[1]
802,9072,0.009072,[0]
803,9163,0.009163,[1]
804,9038,0.009038,[0]
805,8834,0.008834,[1]
806,8810,0.00881,[0]
807,8779,0.008779,[1]
808,8779,0.008779,[0]
809,8886,0.008886,[1]
810,9054,0.009054,[0]
811,9234,0.009234,[1]
812,9536,0.009536,[0]
813,9731,0.009731,[1]
814,9891,0.009891,[0]
815,9917,0.009917,[1]
816,9921,0.009921,[0]
817,9783,0.009783,[1]
818,9936,0.009936,[0]
819,9974,0.009974,[1]
820,10120,0.01012,[0]
821,10104,0.010104,[1]
822,10040,0.01004,[0]
823,10175,0.010175,[1]
824,10336,0.010336,[0]
825,10256,0.010256,[1]
826,10303,0.010303,[0]
827,10598,0.010598,[1]
828,10457,0.010457,[0]
829,10533,0.010533,[1]
830,10892,0.010892,[0]
831,11008,0.011008,[1]
832,10817,0.010817,[0]
833,10823,0.010823,[1]
834,10943,0.010943,[0]
835,10770,0.01077,[1]
836,10603,0.010603,[0]
837,10550,0.01055,[1]
838,10972,0.010972,[0]
839,10942,0.010942,[1]
840,11086,0.011086,[0]
841,11236,0.011236,[1]
842,11372,0.011372,[0]
843,11420,0.01142,[1]
844,11313,0.011313,[0]
845,11493,0.011493,[1]
846,11323,0.011323,[0]
847,11393,0.011393,[1]
848,11619,0.011619,[0]
849,11506,0.011506,[1]
850,11408,0.011408,[0]
851,11223,0.011223,[1]
852,11348,0.011348,[0]
853,11183,0.011183,[1]
854,10838,0.010838,[0]
855,10587,0.010587,[1]
856,10698,0.010698,[0]
857,10587,0.010587,[1]
858,10527,0.010527,[0]
859,10556,0.010556,[1]
860,10453,0.010453,[0]
861,10344,0.010344,[1]
862,10192,0.010192,[0]
863,10138,0.010138,[1]
864,9828,0.009828,[0]
865,9898,0.009898,[1]
866,10194,0.010194,[0]
867,10175,0.010175,[1]
868,9952,0.009952,[0]
869,9522,0.009522,[1]
870,9242,0.009242,[0]
871,9302,0.009302,[1]
872,9038,0.009038,[0]
873,8936,0.008936,[1]
874,9111,0.009111,[0]
875,9597,0.009597,[1]
876,9354,0.009354,[0]
877,10064,0.010064,[1]
878,10414,0.010414,[0]
879,10102,0.010102,[1]
880,9517,0.009517,[0]
881,9074,0.009074,[1]
882,8763,0.008763,[0]
883,8442,0.008442,[1]
884,8229,0.008229,[0]
885,8096,0.008096,[1]
886,8027,0.008027,[0]
887,8200,0.0082,[1]
888,8354,0.008354,[0]
889,8887,0.008887,[1]
890,8978,0.008978,[0]
891,9225,0.009225,[1]
892,9618,0.009618,[0]
893,9453,0.009453,[1]
894,9342,0.009342,[0]
895,9456,0.009456,[1]
896,9114,0.009114,[0]
897,8821,0.008821,[1]
898,8544,0.008544,[0]
899,8505,0.008505,[1]
