[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_083931_Long_Merle_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
608,8309,0.008309,[0]
609,8343,0.008343,[1]
610,8325,0.008325,[0]
611,8086,0.008086,[1]
612,7899,0.007899,[0]
613,8030,0.00803,[1]
614,8454,0.008454,[0]
615,8845,0.008845,[1]
616,9139,0.009139,[0]
617,9786,0.009786,[1]
618,9626,0.009626,[0]
619,9541,0.009541,[1]
620,9307,0.009307,[0]
621,9498,0.009498,[1]
622,9833,0.009833,[0]
623,9733,0.009733,[1]
624,9680,0.00968,[0]
625,9902,0.009902,[1]
626,9978,0.009978,[0]
627,9958,0.009958,[1]
628,9791,0.009791,[0]
629,9979,0.009979,[1]
630,9837,0.009837,[0]
631,9736,0.009736,[1]
632,9673,0.009673,[0]
633,9558,0.009558,[1]
634,9394,0.009394,[0]
635,9137,0.009137,[1]
636,8815,0.008815,[0]
637,8593,0.008593,[1]
638,8317,0.008317,[0]
639,8310,0.00831,[1]
640,8630,0.00863,[0]
641,8492,0.008492,[1]
642,8341,0.008341,[0]
643,8300,0.0083,[1]
644,8396,0.008396,[0]
645,8272,0.008272,[1]
646,8121,0.008121,[0]
647,8176,0.008176,[1]
648,8121,0.008121,[0]
649,8191,0.008191,[1]
650,8035,0.008035,[0]
651,8298,0.008298,[1]
652,8239,0.008239,[0]
653,8081,0.008081,[1]
654,8130,0.00813,[0]
655,8172,0.008172,[1]
656,8144,0.008144,[0]
657,8067,0.008067,[1]
658,8114,0.008114,[0]
659,8114,0.008114,[1]
660,7937,0.007937,[0]
661,8194,0.008194,[1]
662,8243,0.008243,[0]
663,8251,0.008251,[1]
664,9081,0.009081,[0]
665,9380,0.00938,[1]
666,9373,0.009373,[0]
667,9099,0.009099,[1]
668,9143,0.009143,[0]
669,8862,0.008862,[1]
670,8592,0.008592,[0]
671,8472,0.008472,[1]
672,8275,0.008275,[0]
673,8468,0.008468,[1]
674,8931,0.008931,[0]
675,9158,0.009158,[1]
676,9301,0.009301,[0]
677,10042,0.010042,[1]
678,10113,0.010113,[0]
679,9973,0.009973,[1]
680,9929,0.009929,[0]
681,9974,0.009974,[1]
682,9833,0.009833,[0]
683,9513,0.009513,[1]
684,9524,0.009524,[0]
685,9719,0.009719,[1]
686,9788,0.009788,[0]
687,9856,0.009856,[1]
688,9725,0.009725,[0]
689,9796,0.009796,[1]
690,9236,0.009236,[0]
691,8861,0.008861,[1]
692,8603,0.008603,[0]
693,8439,0.008439,[1]
694,8100,0.0081,[0]
695,7894,0.007894,[1]
696,7953,0.007953,[0]
697,7847,0.007847,[1]
698,7634,0.007634,[0]
699,7595,0.007595,[1]
700,7695,0.007695,[0]
701,7535,0.007535,[1]
702,7563,0.007563,[0]
703,7760,0.00776,[1]
704,7756,0.007756,[0]
705,7650,0.00765,[1]
706,7473,0.007473,[0]
707,7486,0.007486,[1]
708,7471,0.007471,[0]
709,7441,0.007441,[1]
710,7373,0.007373,[0]
711,7441,0.007441,[1]
712,7345,0.007345,[0]
713,7413,0.007413,[1]
714,7451,0.007451,[0]
715,7379,0.007379,[1]
716,7364,0.007364,[0]
717,7245,0.007245,[1]
718,7379,0.007379,[0]
719,7379,0.007379,[1]
720,7431,0.007431,[0]
721,7298,0.007298,[1]
722,7407,0.007407,[0]
723,7537,0.007537,[1]
724,7844,0.007844,[0]
725,7861,0.007861,[1]
726,7783,0.007783,[0]
727,8182,0.008182,[1]
728,8119,0.008119,[0]
729,7990,0.00799,[1]
730,8405,0.008405,[0]
731,8462,0.008462,[1]
732,8520,0.00852,[0]
733,8618,0.008618,[1]
734,8662,0.008662,[0]
735,8788,0.008788,[1]
736,8766,0.008766,[0]
737,8918,0.008918,[1]
738,9010,0.00901,[0]
739,9364,0.009364,[1]
740,9555,0.009555,[0]
741,9552,0.009552,[1]
742,9730,0.00973,[0]
743,10102,0.010102,[1]
744,10133,0.010133,[0]
745,9937,0.009937,[1]
746,9924,0.009924,[0]
747,9801,0.009801,[1]
748,9799,0.009799,[0]
749,9620,0.00962,[1]
750,9690,0.00969,[0]
751,9723,0.009723,[1]
752,9706,0.009706,[0]
753,9342,0.009342,[1]
754,9009,0.009009,[0]
755,8712,0.008712,[1]
756,8486,0.008486,[0]
757,8279,0.008279,[1]
758,8328,0.008328,[0]
759,8390,0.00839,[1]
760,8221,0.008221,[0]
761,8211,0.008211,[1]
762,8274,0.008274,[0]
763,8277,0.008277,[1]
764,7986,0.007986,[0]
765,8195,0.008195,[1]
766,8137,0.008137,[0]
767,8088,0.008088,[1]
768,8065,0.008065,[0]
769,8057,0.008057,[1]
770,8085,0.008085,[0]
771,7808,0.007808,[1]
772,7923,0.007923,[0]
773,7970,0.00797,[1]
774,7950,0.00795,[0]
775,8007,0.008007,[1]
776,8028,0.008028,[0]
777,8036,0.008036,[1]
778,8054,0.008054,[0]
779,8084,0.008084,[1]
780,8264,0.008264,[0]
781,8528,0.008528,[1]
782,8177,0.008177,[0]
783,8137,0.008137,[1]
784,8245,0.008245,[0]
785,8100,0.0081,[1]
786,7874,0.007874,[0]
787,8002,0.008002,[1]
788,8078,0.008078,[0]
789,8249,0.008249,[1]
790,8217,0.008217,[0]
791,8542,0.008542,[1]
792,8959,0.008959,[0]
793,8948,0.008948,[1]
794,9127,0.009127,[0]
795,9497,0.009497,[1]
796,9478,0.009478,[0]
797,9319,0.009319,[1]
798,9544,0.009544,[0]
799,9515,0.009515,[1]
800,9470,0.00947,[0]
801,9296,0.009296,[1]
802,9719,0.009719,[0]
803,10485,0.010485,[1]
804,10041,0.010041,[0]
805,9681,0.009681,[1]
806,9500,0.0095,[0]
807,9041,0.009041,[1]
808,8767,0.008767,[0]
809,8836,0.008836,[1]
810,8847,0.008847,[0]
811,8744,0.008744,[1]
812,8519,0.008519,[0]
813,8760,0.00876,[1]
814,8858,0.008858,[0]
815,8553,0.008553,[1]
816,8457,0.008457,[0]
817,8431,0.008431,[1]
818,8116,0.008116,[0]
819,7792,0.007792,[1]
820,7795,0.007795,[0]
821,7709,0.007709,[1]
822,7608,0.007608,[0]
823,7530,0.00753,[1]
824,7710,0.00771,[0]
825,7766,0.007766,[1]
826,7534,0.007534,[0]
827,7662,0.007662,[1]
828,7693,0.007693,[0]
829,7642,0.007642,[1]
830,7503,0.007503,[0]
831,7509,0.007509,[1]
832,7549,0.007549,[0]
