[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_083931_Long_Merle_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
233,7625,0.007625,[1]
234,7791,0.007791,[0]
235,7581,0.007581,[1]
236,7516,0.007516,[0]
237,7465,0.007465,[1]
238,7473,0.007473,[0]
239,7423,0.007423,[1]
240,7575,0.007575,[0]
241,7434,0.007434,[1]
242,7391,0.007391,[0]
243,7487,0.007487,[1]
244,7477,0.007477,[0]
245,7399,0.007399,[1]
246,7380,0.00738,[0]
247,7606,0.007606,[1]
248,7837,0.007837,[0]
249,7996,0.007996,[1]
250,7901,0.007901,[0]
251,8102,0.008102,[1]
252,8363,0.008363,[0]
253,8063,0.008063,[1]
254,8043,0.008043,[0]
255,8664,0.008664,[1]
256,8469,0.008469,[0]
257,8510,0.00851,[1]
258,8530,0.00853,[0]
259,8905,0.008905,[1]
260,9240,0.00924,[0]
261,9154,0.009154,[1]
262,9440,0.00944,[0]
263,9802,0.009802,[1]
264,9609,0.009609,[0]
265,9497,0.009497,[1]
266,9677,0.009677,[0]
267,9551,0.009551,[1]
268,9593,0.009593,[0]
269,10652,0.010652,[1]
270,11125,0.011125,[0]
271,10704,0.010704,[1]
272,9962,0.009962,[0]
273,9179,0.009179,[1]
274,8659,0.008659,[0]
275,8102,0.008102,[1]
276,7665,0.007665,[0]
277,7662,0.007662,[1]
278,8010,0.00801,[0]
279,8184,0.008184,[1]
280,8479,0.008479,[0]
281,8836,0.008836,[1]
282,8965,0.008965,[0]
283,8780,0.00878,[1]
284,8649,0.008649,[0]
285,8365,0.008365,[1]
286,8362,0.008362,[0]
287,8002,0.008002,[1]
288,8035,0.008035,[0]
289,8052,0.008052,[1]
290,7843,0.007843,[0]
291,7778,0.007778,[1]
292,7881,0.007881,[0]
293,8226,0.008226,[1]
294,8194,0.008194,[0]
295,8170,0.00817,[1]
296,8269,0.008269,[0]
297,8448,0.008448,[1]
298,8122,0.008122,[0]
299,8197,0.008197,[1]
300,8010,0.00801,[0]
301,7859,0.007859,[1]
302,7850,0.00785,[0]
303,7986,0.007986,[1]
304,8207,0.008207,[0]
305,8126,0.008126,[1]
306,8071,0.008071,[0]
307,8425,0.008425,[1]
308,8493,0.008493,[0]
309,8459,0.008459,[1]
310,8487,0.008487,[0]
311,8547,0.008547,[1]
312,8736,0.008736,[0]
313,8593,0.008593,[1]
314,8789,0.008789,[0]
315,9049,0.009049,[1]
316,9227,0.009227,[0]
317,9792,0.009792,[1]
318,9775,0.009775,[0]
319,9677,0.009677,[1]
320,9811,0.009811,[0]
321,9368,0.009368,[1]
322,9116,0.009116,[0]
323,9280,0.00928,[1]
324,9202,0.009202,[0]
325,9254,0.009254,[1]
326,9407,0.009407,[0]
327,9609,0.009609,[1]
328,9445,0.009445,[0]
329,9195,0.009195,[1]
330,8835,0.008835,[0]
331,8467,0.008467,[1]
332,8059,0.008059,[0]
333,7795,0.007795,[1]
334,7696,0.007696,[0]
335,7485,0.007485,[1]
336,7590,0.00759,[0]
337,7665,0.007665,[1]
338,7503,0.007503,[0]
339,7689,0.007689,[1]
340,7821,0.007821,[0]
341,7854,0.007854,[1]
342,7813,0.007813,[0]
343,7786,0.007786,[1]
344,7638,0.007638,[0]
345,7504,0.007504,[1]
346,7584,0.007584,[0]
347,7549,0.007549,[1]
348,7368,0.007368,[0]
349,7289,0.007289,[1]
350,7214,0.007214,[0]
351,7143,0.007143,[1]
352,7516,0.007516,[0]
353,8074,0.008074,[1]
354,8105,0.008105,[0]
355,7915,0.007915,[1]
356,7771,0.007771,[0]
357,7614,0.007614,[1]
358,7447,0.007447,[0]
359,7360,0.00736,[1]
360,7411,0.007411,[0]
361,7380,0.00738,[1]
362,7289,0.007289,[0]
363,7637,0.007637,[1]
364,7726,0.007726,[0]
365,7677,0.007677,[1]
366,7903,0.007903,[0]
367,7992,0.007992,[1]
368,7936,0.007936,[0]
369,7866,0.007866,[1]
370,7918,0.007918,[0]
371,8018,0.008018,[1]
372,8099,0.008099,[0]
373,8045,0.008045,[1]
374,8510,0.00851,[0]
375,8658,0.008658,[1]
376,8822,0.008822,[0]
377,9127,0.009127,[1]
378,9294,0.009294,[0]
379,9300,0.0093,[1]
380,9117,0.009117,[0]
381,9309,0.009309,[1]
382,9500,0.0095,[0]
383,9384,0.009384,[1]
384,9265,0.009265,[0]
385,9432,0.009432,[1]
386,9405,0.009405,[0]
387,9252,0.009252,[1]
388,9193,0.009193,[0]
389,9368,0.009368,[1]
390,9630,0.00963,[0]
391,9482,0.009482,[1]
392,9290,0.00929,[0]
393,9163,0.009163,[1]
394,9113,0.009113,[0]
395,8777,0.008777,[1]
396,8433,0.008433,[0]
397,8457,0.008457,[1]
398,8231,0.008231,[0]
399,8252,0.008252,[1]
400,8391,0.008391,[0]
401,8172,0.008172,[1]
402,8436,0.008436,[0]
403,8703,0.008703,[1]
404,8708,0.008708,[0]
405,8318,0.008318,[1]
406,8085,0.008085,[0]
407,8230,0.00823,[1]
408,8154,0.008154,[0]
409,7853,0.007853,[1]
410,7742,0.007742,[0]
411,7678,0.007678,[1]
412,7824,0.007824,[0]
413,7875,0.007875,[1]
414,7779,0.007779,[0]
415,7915,0.007915,[1]
416,7958,0.007958,[0]
417,7915,0.007915,[1]
418,7818,0.007818,[0]
419,8078,0.008078,[1]
420,8019,0.008019,[0]
421,7899,0.007899,[1]
422,7899,0.007899,[0]
423,8144,0.008144,[1]
424,8484,0.008484,[0]
425,8517,0.008517,[1]
426,8367,0.008367,[0]
427,8571,0.008571,[1]
428,8430,0.00843,[0]
429,8327,0.008327,[1]
430,8360,0.00836,[0]
431,8496,0.008496,[1]
432,8769,0.008769,[0]
433,8789,0.008789,[1]
434,9149,0.009149,[0]
435,9393,0.009393,[1]
436,9150,0.00915,[0]
437,9176,0.009176,[1]
438,9259,0.009259,[0]
439,9562,0.009562,[1]
440,9460,0.00946,[0]
441,9630,0.00963,[1]
442,9595,0.009595,[0]
443,9689,0.009689,[1]
444,9540,0.00954,[0]
445,9435,0.009435,[1]
446,9552,0.009552,[0]
447,9788,0.009788,[1]
448,9539,0.009539,[0]
449,9285,0.009285,[1]
450,9308,0.009308,[0]
451,8956,0.008956,[1]
452,8670,0.00867,[0]
453,8478,0.008478,[1]
454,8217,0.008217,[0]
455,7893,0.007893,[1]
456,7734,0.007734,[0]
457,7850,0.00785,[1]
458,7811,0.007811,[0]
459,7720,0.00772,[1]
460,7741,0.007741,[0]
461,7676,0.007676,[1]
462,7660,0.00766,[0]
463,7517,0.007517,[1]
464,7551,0.007551,[0]
465,7549,0.007549,[1]
466,7660,0.00766,[0]
467,7684,0.007684,[1]
468,7804,0.007804,[0]
469,7829,0.007829,[1]
470,7576,0.007576,[0]
471,7416,0.007416,[1]
472,7477,0.007477,[0]
473,7282,0.007282,[1]
474,7220,0.00722,[0]
475,7218,0.007218,[1]
476,7314,0.007314,[0]
477,7766,0.007766,[1]
478,7816,0.007816,[0]
479,7792,0.007792,[1]
480,7781,0.007781,[0]
481,7833,0.007833,[1]
482,7828,0.007828,[0]
483,7712,0.007712,[1]
484,7783,0.007783,[0]
485,7883,0.007883,[1]
486,7877,0.007877,[0]
487,7886,0.007886,[1]
488,7853,0.007853,[0]
489,8002,0.008002,[1]
490,8153,0.008153,[0]
491,8351,0.008351,[1]
492,8525,0.008525,[0]
493,8739,0.008739,[1]
494,9167,0.009167,[0]
495,9166,0.009166,[1]
496,9067,0.009067,[0]
497,9147,0.009147,[1]
498,8999,0.008999,[0]
499,9054,0.009054,[1]
500,9090,0.00909,[0]
501,9178,0.009178,[1]
502,9577,0.009577,[0]
503,9791,0.009791,[1]
504,10111,0.010111,[0]
505,10311,0.010311,[1]
506,10065,0.010065,[0]
507,9700,0.0097,[1]
508,9556,0.009556,[0]
509,9391,0.009391,[1]
510,9225,0.009225,[0]
511,9094,0.009094,[1]
512,9190,0.00919,[0]
513,8978,0.008978,[1]
514,8889,0.008889,[0]
515,8747,0.008747,[1]
516,8631,0.008631,[0]
517,8415,0.008415,[1]
518,8143,0.008143,[0]
519,8174,0.008174,[1]
520,8132,0.008132,[0]
521,7956,0.007956,[1]
522,8163,0.008163,[0]
523,8370,0.00837,[1]
524,8506,0.008506,[0]
525,8263,0.008263,[1]
526,8288,0.008288,[0]
527,8233,0.008233,[1]
528,8331,0.008331,[0]
529,8124,0.008124,[1]
