[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085918_Davidson_Codie_pirhanaMaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
221,8384,0.008384,[1]
222,8639,0.008639,[0]
223,8875,0.008875,[1]
224,8887,0.008887,[0]
225,8706,0.008706,[1]
226,8821,0.008821,[0]
227,9349,0.009349,[1]
228,9355,0.009355,[0]
229,9447,0.009447,[1]
230,9607,0.009607,[0]
231,9905,0.009905,[1]
232,10001,0.010001,[0]
233,9838,0.009838,[1]
234,10127,0.010127,[0]
235,10346,0.010346,[1]
236,10841,0.010841,[0]
237,10839,0.010839,[1]
238,11023,0.011023,[0]
239,11276,0.011276,[1]
240,11610,0.01161,[0]
241,11476,0.011476,[1]
242,11367,0.011367,[0]
243,11430,0.01143,[1]
244,11676,0.011676,[0]
245,11421,0.011421,[1]
246,11582,0.011582,[0]
247,11477,0.011477,[1]
248,11375,0.011375,[0]
249,11163,0.011163,[1]
250,10902,0.010902,[0]
251,10672,0.010672,[1]
252,10433,0.010433,[0]
253,10130,0.01013,[1]
254,9818,0.009818,[0]
255,10191,0.010191,[1]
256,9936,0.009936,[0]
257,9584,0.009584,[1]
258,9336,0.009336,[0]
259,9206,0.009206,[1]
260,9415,0.009415,[0]
261,9260,0.00926,[1]
262,9120,0.00912,[0]
263,8900,0.0089,[1]
264,8678,0.008678,[0]
265,8563,0.008563,[1]
266,8671,0.008671,[0]
267,8751,0.008751,[1]
268,8672,0.008672,[0]
269,8645,0.008645,[1]
270,8518,0.008518,[0]
271,8618,0.008618,[1]
272,8787,0.008787,[0]
273,8532,0.008532,[1]
274,8335,0.008335,[0]
275,8323,0.008323,[1]
