[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_075103_Davidson_Codie_80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
283,9470,0.00947,[1]
284,9745,0.009745,[0]
285,9928,0.009928,[1]
286,10152,0.010152,[0]
287,10382,0.010382,[1]
288,10820,0.01082,[0]
289,10784,0.010784,[1]
290,10692,0.010692,[0]
291,10696,0.010696,[1]
292,10779,0.010779,[0]
293,11016,0.011016,[1]
294,10989,0.010989,[0]
295,10916,0.010916,[1]
296,11323,0.011323,[0]
297,11192,0.011192,[1]
298,11014,0.011014,[0]
299,11344,0.011344,[1]
300,11551,0.011551,[0]
301,11488,0.011488,[1]
302,11822,0.011822,[0]
303,11975,0.011975,[1]
304,12140,0.01214,[0]
305,12360,0.01236,[1]
306,12418,0.012418,[0]
307,11966,0.011966,[1]
308,11786,0.011786,[0]
309,11352,0.011352,[1]
310,11625,0.011625,[0]
311,12068,0.012068,[1]
312,11572,0.011572,[0]
313,11735,0.011735,[1]
314,11162,0.011162,[0]
315,10660,0.01066,[1]
316,10468,0.010468,[0]
317,10165,0.010165,[1]
318,10143,0.010143,[0]
319,10348,0.010348,[1]
320,10336,0.010336,[0]
321,10249,0.010249,[1]
322,10041,0.010041,[0]
323,9695,0.009695,[1]
324,9409,0.009409,[0]
325,9211,0.009211,[1]
326,9464,0.009464,[0]
327,9314,0.009314,[1]
328,9389,0.009389,[0]
329,9260,0.00926,[1]
330,9449,0.009449,[0]
331,9300,0.0093,[1]
332,9539,0.009539,[0]
333,9111,0.009111,[1]
334,9045,0.009045,[0]
335,8985,0.008985,[1]
336,8889,0.008889,[0]
337,9083,0.009083,[1]
338,9290,0.00929,[0]
339,9627,0.009627,[1]
340,9237,0.009237,[0]
341,9003,0.009003,[1]
342,8830,0.00883,[0]
343,8556,0.008556,[1]
344,8476,0.008476,[0]
345,8462,0.008462,[1]
346,8460,0.00846,[0]
347,8780,0.00878,[1]
348,8912,0.008912,[0]
349,8862,0.008862,[1]
350,9052,0.009052,[0]
351,9255,0.009255,[1]
352,9348,0.009348,[0]
