[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085334_Davidson_Codie_pirhana80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
400,8501,0.008501,[0]
401,8743,0.008743,[1]
402,8796,0.008796,[0]
403,8536,0.008536,[1]
404,8496,0.008496,[0]
405,8466,0.008466,[1]
406,8677,0.008677,[0]
407,8662,0.008662,[1]
408,8655,0.008655,[0]
409,8749,0.008749,[1]
410,8736,0.008736,[0]
411,8576,0.008576,[1]
412,8914,0.008914,[0]
413,9408,0.009408,[1]
414,9394,0.009394,[0]
415,9207,0.009207,[1]
416,9255,0.009255,[0]
417,9629,0.009629,[1]
418,9703,0.009703,[0]
419,9977,0.009977,[1]
420,10167,0.010167,[0]
421,10239,0.010239,[1]
422,10234,0.010234,[0]
423,10335,0.010335,[1]
424,10509,0.010509,[0]
425,10470,0.01047,[1]
426,10574,0.010574,[0]
427,10893,0.010893,[1]
428,11035,0.011035,[0]
429,11547,0.011547,[1]
430,11311,0.011311,[0]
431,11701,0.011701,[1]
432,11585,0.011585,[0]
433,11529,0.011529,[1]
434,11730,0.01173,[0]
435,11905,0.011905,[1]
436,11485,0.011485,[0]
437,11835,0.011835,[1]
438,11980,0.01198,[0]
439,12486,0.012486,[1]
440,12090,0.01209,[0]
441,11750,0.01175,[1]
442,11599,0.011599,[0]
443,11417,0.011417,[1]
444,11162,0.011162,[0]
445,11669,0.011669,[1]
446,11687,0.011687,[0]
447,11199,0.011199,[1]
448,10621,0.010621,[0]
449,10161,0.010161,[1]
450,10059,0.010059,[0]
451,10141,0.010141,[1]
452,9822,0.009822,[0]
453,9603,0.009603,[1]
454,9812,0.009812,[0]
455,9470,0.00947,[1]
456,9174,0.009174,[0]
457,9102,0.009102,[1]
458,9314,0.009314,[0]
459,9320,0.00932,[1]
460,9198,0.009198,[0]
461,9509,0.009509,[1]
462,9739,0.009739,[0]
463,9463,0.009463,[1]
464,9249,0.009249,[0]
465,9075,0.009075,[1]
466,8835,0.008835,[0]
467,8620,0.00862,[1]
468,8722,0.008722,[0]
469,8874,0.008874,[1]
470,8682,0.008682,[0]
471,8546,0.008546,[1]
472,8463,0.008463,[0]
473,8368,0.008368,[1]
474,8418,0.008418,[0]
475,8339,0.008339,[1]
476,8484,0.008484,[0]
477,8779,0.008779,[1]
478,8955,0.008955,[0]
479,8829,0.008829,[1]
480,8691,0.008691,[0]
481,9128,0.009128,[1]
482,9203,0.009203,[0]
483,9023,0.009023,[1]
484,9232,0.009232,[0]
485,9365,0.009365,[1]
486,9704,0.009704,[0]
487,10033,0.010033,[1]
488,10116,0.010116,[0]
489,9847,0.009847,[1]
490,9764,0.009764,[0]
491,9780,0.00978,[1]
492,9767,0.009767,[0]
493,9874,0.009874,[1]
494,10047,0.010047,[0]
495,10796,0.010796,[1]
496,10878,0.010878,[0]
497,10932,0.010932,[1]
498,10964,0.010964,[0]
499,11229,0.011229,[1]
500,11201,0.011201,[0]
501,11032,0.011032,[1]
502,10943,0.010943,[0]
503,11372,0.011372,[1]
504,11980,0.01198,[0]
505,12365,0.012365,[1]
506,12010,0.01201,[0]
507,12171,0.012171,[1]
508,12116,0.012116,[0]
509,11359,0.011359,[1]
510,11282,0.011282,[0]
511,11235,0.011235,[1]
512,10875,0.010875,[0]
513,11050,0.01105,[1]
514,11115,0.011115,[0]
515,10936,0.010936,[1]
516,10688,0.010688,[0]
517,10476,0.010476,[1]
518,10602,0.010602,[0]
519,10473,0.010473,[1]
520,9979,0.009979,[0]
521,9886,0.009886,[1]
522,9832,0.009832,[0]
523,9617,0.009617,[1]
524,9289,0.009289,[0]
525,9178,0.009178,[1]
526,9288,0.009288,[0]
527,9593,0.009593,[1]
528,9322,0.009322,[0]
529,9212,0.009212,[1]
530,8851,0.008851,[0]
531,9100,0.0091,[1]
532,8873,0.008873,[0]
533,8922,0.008922,[1]
534,8767,0.008767,[0]
535,8636,0.008636,[1]
536,8449,0.008449,[0]
537,8699,0.008699,[1]
538,8595,0.008595,[0]
539,8458,0.008458,[1]
540,8297,0.008297,[0]
541,8397,0.008397,[1]
542,8324,0.008324,[0]
543,8302,0.008302,[1]
544,8642,0.008642,[0]
545,8879,0.008879,[1]
546,8893,0.008893,[0]
547,8584,0.008584,[1]
548,8719,0.008719,[0]
549,8496,0.008496,[1]
550,8518,0.008518,[0]
551,8496,0.008496,[1]
552,8698,0.008698,[0]
553,9033,0.009033,[1]
554,9033,0.009033,[0]
555,9168,0.009168,[1]
556,9332,0.009332,[0]
557,9247,0.009247,[1]
558,9299,0.009299,[0]
559,9102,0.009102,[1]
560,9000,0.009,[0]
561,9195,0.009195,[1]
562,9308,0.009308,[0]
563,9798,0.009798,[1]
564,10359,0.010359,[0]
565,10478,0.010478,[1]
566,10768,0.010768,[0]
567,10883,0.010883,[1]
568,10656,0.010656,[0]
569,10927,0.010927,[1]
570,10609,0.010609,[0]
571,10367,0.010367,[1]
572,10332,0.010332,[0]
573,10524,0.010524,[1]
574,11059,0.011059,[0]
575,11294,0.011294,[1]
576,11628,0.011628,[0]
577,11665,0.011665,[1]
578,11627,0.011627,[0]
579,11358,0.011358,[1]
580,11268,0.011268,[0]
581,11425,0.011425,[1]
582,11360,0.01136,[0]
583,11850,0.01185,[1]
584,12216,0.012216,[0]
585,12024,0.012024,[1]
586,11796,0.011796,[0]
587,11438,0.011438,[1]
588,10965,0.010965,[0]
589,10629,0.010629,[1]
590,10767,0.010767,[0]
591,10588,0.010588,[1]
592,10813,0.010813,[0]
593,10775,0.010775,[1]
594,10220,0.01022,[0]
595,9890,0.00989,[1]
596,9985,0.009985,[0]
597,9673,0.009673,[1]
598,9504,0.009504,[0]
599,9528,0.009528,[1]
600,9404,0.009404,[0]
601,9176,0.009176,[1]
602,8898,0.008898,[0]
603,8898,0.008898,[1]
604,8969,0.008969,[0]
605,8797,0.008797,[1]
606,8726,0.008726,[0]
607,8991,0.008991,[1]
608,9222,0.009222,[0]
609,9248,0.009248,[1]
610,9200,0.0092,[0]
611,9187,0.009187,[1]
612,8959,0.008959,[0]
613,8642,0.008642,[1]
614,8685,0.008685,[0]
615,8514,0.008514,[1]
616,8500,0.0085,[0]
617,8388,0.008388,[1]
618,8557,0.008557,[0]
619,8647,0.008647,[1]
620,8576,0.008576,[0]
621,8866,0.008866,[1]
622,9063,0.009063,[0]
623,9348,0.009348,[1]
624,9050,0.00905,[0]
625,9343,0.009343,[1]
626,9361,0.009361,[0]
627,9393,0.009393,[1]
628,9156,0.009156,[0]
629,9376,0.009376,[1]
630,9409,0.009409,[0]
631,9455,0.009455,[1]
632,9563,0.009563,[0]
633,9806,0.009806,[1]
634,10061,0.010061,[0]
635,9877,0.009877,[1]
636,10435,0.010435,[0]
637,10647,0.010647,[1]
638,11023,0.011023,[0]
639,10717,0.010717,[1]
640,11526,0.011526,[0]
641,12029,0.012029,[1]
642,12302,0.012302,[0]
643,11636,0.011636,[1]
644,11367,0.011367,[0]
645,11029,0.011029,[1]
