[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_075705_Davidson_Codie_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
232,9310,0.00931,[0]
233,9420,0.00942,[1]
234,9403,0.009403,[0]
235,9169,0.009169,[1]
236,9127,0.009127,[0]
237,8818,0.008818,[1]
238,8658,0.008658,[0]
239,8564,0.008564,[1]
240,9125,0.009125,[0]
241,9311,0.009311,[1]
242,8998,0.008998,[0]
243,9093,0.009093,[1]
244,9175,0.009175,[0]
245,8947,0.008947,[1]
246,9123,0.009123,[0]
247,9032,0.009032,[1]
248,8941,0.008941,[0]
249,9232,0.009232,[1]
250,8918,0.008918,[0]
251,9097,0.009097,[1]
252,9297,0.009297,[0]
253,9174,0.009174,[1]
254,9423,0.009423,[0]
255,9699,0.009699,[1]
256,10509,0.010509,[0]
257,10343,0.010343,[1]
258,11008,0.011008,[0]
259,11355,0.011355,[1]
260,10871,0.010871,[0]
261,10486,0.010486,[1]
262,10561,0.010561,[0]
263,10874,0.010874,[1]
264,11340,0.01134,[0]
265,11397,0.011397,[1]
266,12532,0.012532,[0]
267,12217,0.012217,[1]
268,12494,0.012494,[0]
269,11988,0.011988,[1]
270,11844,0.011844,[0]
271,11460,0.01146,[1]
272,10815,0.010815,[0]
273,10100,0.0101,[1]
274,9806,0.009806,[0]
275,9817,0.009817,[1]
276,9499,0.009499,[0]
277,9687,0.009687,[1]
278,9510,0.00951,[0]
279,9546,0.009546,[1]
280,9133,0.009133,[0]
281,9248,0.009248,[1]
282,9147,0.009147,[0]
283,8717,0.008717,[1]
284,8405,0.008405,[0]
285,8366,0.008366,[1]
286,8406,0.008406,[0]
287,8436,0.008436,[1]
288,8372,0.008372,[0]
289,8473,0.008473,[1]
290,8601,0.008601,[0]
291,8402,0.008402,[1]
292,8451,0.008451,[0]
293,8311,0.008311,[1]
294,8359,0.008359,[0]
295,8073,0.008073,[1]
296,8001,0.008001,[0]
297,8165,0.008165,[1]
298,8068,0.008068,[0]
299,7938,0.007938,[1]
300,8076,0.008076,[0]
301,8113,0.008113,[1]
302,8094,0.008094,[0]
303,8108,0.008108,[1]
304,8376,0.008376,[0]
305,8542,0.008542,[1]
306,8575,0.008575,[0]
307,8833,0.008833,[1]
308,8713,0.008713,[0]
309,8658,0.008658,[1]
310,8361,0.008361,[0]
311,8631,0.008631,[1]
312,8624,0.008624,[0]
313,8861,0.008861,[1]
314,9153,0.009153,[0]
315,9537,0.009537,[1]
316,9486,0.009486,[0]
317,9478,0.009478,[1]
318,9409,0.009409,[0]
319,9412,0.009412,[1]
320,9462,0.009462,[0]
321,9651,0.009651,[1]
322,10051,0.010051,[0]
323,10157,0.010157,[1]
324,10196,0.010196,[0]
325,10163,0.010163,[1]
326,10354,0.010354,[0]
327,10350,0.01035,[1]
328,10718,0.010718,[0]
329,10872,0.010872,[1]
330,10861,0.010861,[0]
331,10706,0.010706,[1]
332,10299,0.010299,[0]
333,10107,0.010107,[1]
334,10152,0.010152,[0]
335,10007,0.010007,[1]
336,9773,0.009773,[0]
337,10044,0.010044,[1]
338,10195,0.010195,[0]
339,9825,0.009825,[1]
340,9603,0.009603,[0]
341,9473,0.009473,[1]
342,9107,0.009107,[0]
343,8724,0.008724,[1]
344,8653,0.008653,[0]
345,8552,0.008552,[1]
346,8702,0.008702,[0]
347,8687,0.008687,[1]
348,8622,0.008622,[0]
349,8842,0.008842,[1]
350,8889,0.008889,[0]
351,9062,0.009062,[1]
352,8874,0.008874,[0]
353,8621,0.008621,[1]
354,8638,0.008638,[0]
355,8527,0.008527,[1]
356,8375,0.008375,[0]
357,8391,0.008391,[1]
358,8309,0.008309,[0]
359,8309,0.008309,[1]
360,8363,0.008363,[0]
361,8440,0.00844,[1]
362,8479,0.008479,[0]
363,8664,0.008664,[1]
364,8738,0.008738,[0]
365,8868,0.008868,[1]
366,8974,0.008974,[0]
367,9026,0.009026,[1]
368,9037,0.009037,[0]
369,9266,0.009266,[1]
370,9249,0.009249,[0]
371,9614,0.009614,[1]
372,9758,0.009758,[0]
373,9706,0.009706,[1]
374,9717,0.009717,[0]
375,9845,0.009845,[1]
376,9988,0.009988,[0]
377,10027,0.010027,[1]
378,10408,0.010408,[0]
379,10749,0.010749,[1]
380,10902,0.010902,[0]
381,10999,0.010999,[1]
382,11144,0.011144,[0]
383,11014,0.011014,[1]
384,10902,0.010902,[0]
385,10650,0.01065,[1]
386,10921,0.010921,[0]
387,11094,0.011094,[1]
388,11249,0.011249,[0]
389,10948,0.010948,[1]
390,10405,0.010405,[0]
391,10027,0.010027,[1]
392,9751,0.009751,[0]
393,9452,0.009452,[1]
394,9205,0.009205,[0]
395,9017,0.009017,[1]
396,8807,0.008807,[0]
397,8819,0.008819,[1]
398,8827,0.008827,[0]
